grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
0,1.526786,1.498164,1.425579,1.336441,1.200378,1.046907,0.855492,0.635474,0.385788,0.114830,-0.179959,-0.482494,-0.778747,-1.037435,-1.253202,-1.431845,-1.584981,-1.705764,-1.744280,-1.774532,-1.820601,-1.861115,-1.895398,-1.933403,-1.975707,-1.992849,-2.014550,-2.045043,-2.041809,-2.008751,-1.918555,-1.701923,-1.465015,-1.210062,-0.943703,-0.672727,-0.403387,-0.142392,0.092488,0.322454,0.527907,0.718656,0.894096,1.063433,1.216000,1.371409,1.529546,1.680476,1.824646,1.962911,2.106181,2.235180,2.350463,2.462469,2.561691,2.648495,2.733128,2.805744,2.866444,2.915292,2.952330,2.977587,3.001081,3.004252
1,1.518462,1.479919,1.417535,1.318730,1.193136,1.030197,0.839448,0.610415,0.352144,0.073288,-0.228481,-0.557061,-0.989549,-1.346395,-1.392310,-1.650837,-1.873657,-1.974844,-1.924799,-1.857288,-1.905403,-1.927285,-1.962121,-2.009960,-2.051712,-2.067406,-2.156330,-2.303836,-2.329312,-2.306418,-2.176451,-1.969978,-1.564128,-1.300710,-1.016661,-0.738501,-0.451750,-0.182641,0.061101,0.290544,0.495942,0.686963,0.862825,1.022500,1.185199,1.340532,1.488434,1.648844,1.792206,1.939613,2.082155,2.210559,2.335339,2.446833,2.545660,2.642184,2.726604,2.789062,2.849642,2.898399,2.935369,2.970576,2.984038,2.997196
2,1.502397,1.464036,1.402089,1.304025,1.159498,0.987723,0.798465,0.561627,0.306531,0.002395,-0.322753,-0.764324,-1.192570,-1.507780,-1.642808,-1.831821,-1.985749,-2.096881,-2.106121,-2.019655,-2.000967,-2.005368,-2.031091,-2.088726,-2.119759,-2.163497,-2.299280,-2.504255,-2.499745,-2.397844,-2.297401,-2.158949,-1.891295,-1.618244,-1.227611,-0.845215,-0.534685,-0.250016,0.001190,0.229558,0.444975,0.626830,0.793933,0.954526,1.117537,1.272625,1.430082,1.579243,1.740435,1.895589,2.036315,2.173269,2.286830,2.417146,2.525089,2.621003,2.704950,2.777044,2.837347,2.885892,2.922700,2.957790,2.971175,2.984301
3,1.478014,1.439903,1.378525,1.271382,1.118098,0.957749,0.760480,0.516470,0.235503,-0.082601,-0.510000,-1.005679,-1.412217,-1.657183,-1.840566,-2.029100,-2.133530,-2.243421,-2.299142,-2.330162,-2.192676,-2.148473,-2.174376,-2.231843,-2.262761,-2.316116,-2.441871,-2.638256,-2.605656,-2.544740,-2.463985,-2.294326,-2.014852,-1.790272,-1.529343,-1.130822,-0.657633,-0.348740,-0.080611,0.156649,0.362428,0.535891,0.685296,0.837299,0.980551,1.165121,1.281899,1.429198,1.647078,1.828632,1.976551,2.121292,2.253077,2.381997,2.488887,2.584008,2.667322,2.748920,2.808837,2.857080,2.893655,2.928574,2.951846,2.954925
4,1.444960,1.407146,1.336456,1.230421,1.078662,0.910036,0.704982,0.453900,0.166964,-0.175673,-0.676852,-1.169509,-1.496074,-1.750649,-1.962150,-2.188832,-2.281727,-2.379069,-2.490285,-2.516545,-2.375227,-2.348244,-2.402367,-2.439139,-2.470595,-2.525690,-2.714862,-2.806453,-2.787608,-2.688807,-2.578903,-2.438767,-2.178481,-1.923392,-1.691873,-1.334729,-0.826323,-0.462067,-0.186410,0.050260,0.256862,0.422470,0.494576,0.637710,0.810707,0.984330,1.119466,1.304497,1.509251,1.747009,1.901721,2.063945,2.193761,2.331121,2.446806,2.541000,2.633583,2.704597,2.774046,2.821913,2.868192,2.892889,2.916011,2.929029
5,1.412829,1.365327,1.295416,1.190657,1.010651,0.853945,0.631182,0.382895,0.079422,-0.269124,-0.836506,-1.257766,-1.564448,-1.848417,-2.068699,-2.283737,-2.433661,-2.557396,-2.673796,-2.682981,-2.732696,-2.759317,-2.780075,-2.875263,-2.887457,-2.866637,-2.952969,-2.942200,-2.918228,-2.842079,-2.743588,-2.603561,-2.343087,-2.058635,-1.797971,-1.511744,-0.965608,-0.583278,-0.308270,-0.071195,0.126468,0.283506,0.346634,0.509916,0.682510,0.865139,1.038403,1.191499,1.413811,1.648724,1.820639,1.980485,2.128386,2.274147,2.388590,2.491820,2.583614,2.663984,2.722904,2.780334,2.816259,2.850683,2.873620,2.886559
6,1.371252,1.324046,1.254902,1.141241,0.972764,0.788238,0.567841,0.302198,-0.008234,-0.363872,-0.869214,-1.389319,-1.715876,-1.979861,-2.190165,-2.374757,-2.572265,-2.672805,-2.754488,-2.875565,-2.975708,-2.985430,-3.042285,-3.095644,-3.167631,-3.199813,-3.202860,-3.168644,-3.109546,-3.016658,-2.870166,-2.740884,-2.510389,-2.256811,-1.968166,-1.623923,-1.057832,-0.704121,-0.427527,-0.208958,-0.020251,0.116910,0.229046,0.391706,0.554049,0.716272,0.908357,1.079936,1.320448,1.543058,1.732456,1.910061,2.056188,2.200605,2.323952,2.426254,2.527275,2.606991,2.665347,2.722290,2.767802,2.801899,2.824609,2.837452
7,1.319915,1.282983,1.204559,1.081891,0.924762,0.712285,0.494151,0.231064,-0.096355,-0.469010,-1.012977,-1.454133,-1.752145,-2.057180,-2.298215,-2.443106,-2.639514,-2.767080,-2.853918,-2.977839,-3.129316,-3.201875,-3.264468,-3.345872,-3.388167,-3.393186,-3.321138,-3.331151,-3.245502,-3.125236,-3.010400,-2.842581,-2.653254,-2.361297,-2.054710,-1.591437,-1.152384,-0.844711,-0.585220,-0.384823,-0.205466,-0.039202,0.111230,0.262994,0.444904,0.606898,0.768608,0.949471,1.148954,1.439553,1.636604,1.812309,1.966899,2.120244,2.252692,2.364161,2.454474,2.533555,2.601328,2.667735,2.712767,2.746470,2.768900,2.781623
8,1.278552,1.231849,1.154011,1.032204,0.866128,0.675226,0.429289,0.158765,-0.175573,-0.594925,-1.177719,-1.550881,-1.861175,-2.058997,-2.252410,-2.457978,-2.583849,-2.718786,-2.870631,-2.998373,-3.252741,-3.369241,-3.408341,-3.507945,-3.550537,-3.547383,-3.508152,-3.461135,-3.397676,-3.278845,-3.154979,-2.988647,-2.701506,-2.441854,-2.146195,-1.750954,-1.297428,-1.005528,-0.743229,-0.521460,-0.341914,-0.166635,-0.017621,0.133289,0.294778,0.466281,0.647488,0.837759,1.076854,1.316893,1.552441,1.726592,1.890000,2.032677,2.164614,2.275503,2.375184,2.463642,2.530820,2.596639,2.641098,2.674313,2.696394,2.718968
9,1.226916,1.180402,1.103056,0.962008,0.806875,0.597370,0.353334,0.075077,-0.266490,-0.703027,-1.295806,-1.630701,-1.961998,-2.200741,-2.305880,-2.462137,-2.656859,-2.769355,-2.957299,-3.121081,-3.322215,-3.455651,-3.532614,-3.661210,-3.684155,-3.702287,-3.624884,-3.569662,-3.467432,-3.359153,-3.275480,-3.109451,-2.883487,-2.486604,-2.122521,-1.754292,-1.405092,-1.128639,-0.893352,-0.699949,-0.500198,-0.315994,-0.148677,0.020873,0.181578,0.372621,0.543878,0.744423,0.954556,1.195427,1.430233,1.623060,1.785476,1.937739,2.059549,2.180220,2.289348,2.377200,2.443805,2.508987,2.562727,2.595321,2.626960,2.639344
