grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
0,5.776786,5.778164,5.785579,5.806441,5.820378,5.836907,5.855492,5.885474,5.905788,5.924830,5.940041,5.947506,5.931253,5.902565,5.846798,5.768155,5.675019,5.554236,5.425720,5.295468,5.179399,5.078885,4.994602,4.926597,4.864293,4.807151,4.755450,4.704957,4.628191,4.531249,4.391445,4.228077,4.024985,3.819938,3.636297,3.467273,3.326613,3.237608,3.142488,3.052454,2.977907,2.908656,2.824096,2.793433,2.826000,2.851409,2.859546,2.860476,2.854646,2.832911,2.806181,2.775180,2.740463,2.722469,2.701691,2.688495,2.683128,2.675744,2.676444,2.685292,2.692330,2.697587,2.701081,2.704252
1,5.758462,5.759919,5.777535,5.788730,5.803136,5.820197,5.849448,5.870415,5.892144,5.913288,5.931519,5.942939,5.930451,5.903605,5.837690,5.749163,5.656343,5.535156,5.385201,5.202712,5.084597,5.022715,4.957879,4.880040,4.798288,4.772594,4.733670,4.686164,4.620688,4.513582,4.373549,4.210022,3.985872,3.749290,3.563339,3.401499,3.268250,3.147359,3.061101,2.990544,2.915942,2.816963,2.742825,2.722500,2.715199,2.800532,2.848434,2.848844,2.842206,2.809613,2.782155,2.750559,2.715339,2.696833,2.675660,2.662184,2.656604,2.659062,2.659642,2.658399,2.665369,2.670576,2.684038,2.687196
2,5.732397,5.734036,5.742089,5.754025,5.769498,5.797723,5.818465,5.841627,5.866531,5.892395,5.917247,5.935676,5.927430,5.892220,5.817192,5.718179,5.634251,5.503119,5.283879,5.110345,4.979033,4.894632,4.888909,4.761274,4.660241,4.626503,4.640720,4.655745,4.590255,4.482156,4.342599,4.151051,3.938705,3.731756,3.542389,3.374785,3.205315,3.069984,2.961190,2.899558,2.834975,2.786830,2.713933,2.724526,2.717537,2.742625,2.830082,2.829243,2.810435,2.775589,2.736315,2.693269,2.656830,2.637146,2.615089,2.611003,2.604950,2.607044,2.607347,2.615892,2.622700,2.637790,2.641175,2.654301
3,5.678014,5.679903,5.698525,5.711382,5.728098,5.747749,5.780480,5.806470,5.835503,5.867399,5.890000,5.914321,5.907783,5.862817,5.789434,5.670900,5.576470,5.456579,5.250858,5.059838,4.927324,4.821527,4.775624,4.648157,4.597239,4.573884,4.548129,4.601744,4.534344,4.445260,4.306015,4.125674,3.905148,3.679728,3.500657,3.339178,3.162367,3.041260,2.929389,2.866649,2.822428,2.765891,2.725296,2.737299,2.760551,2.725121,2.811899,2.809198,2.777078,2.708632,2.606551,2.561292,2.543077,2.511997,2.528887,2.534008,2.527322,2.528920,2.538837,2.547080,2.563655,2.578574,2.591846,2.604925
4,5.614960,5.617146,5.626456,5.640421,5.668662,5.690036,5.714982,5.743900,5.776964,5.814327,5.853148,5.870491,5.863926,5.819351,5.727850,5.591168,5.478273,5.390931,5.199715,5.003455,4.874773,4.751756,4.677633,4.590861,4.539405,4.544310,4.535138,4.523547,4.462392,4.361193,4.241097,4.081233,3.881519,3.636608,3.468127,3.295271,3.123677,2.967933,2.883590,2.800260,2.746862,2.682470,2.714576,2.767710,2.790707,2.744330,2.789466,2.784497,2.739251,2.667009,2.521721,2.473945,2.433761,2.371121,2.376806,2.401000,2.403583,2.414597,2.434046,2.461913,2.488192,2.512889,2.526011,2.539029
5,5.532829,5.535327,5.545416,5.560657,5.580651,5.613945,5.641182,5.672895,5.709422,5.750876,5.783494,5.802234,5.795552,5.741583,5.651301,5.516263,5.386339,5.292604,5.126204,4.937019,4.807304,4.700683,4.619925,4.554737,4.482543,4.493363,4.477031,4.427800,4.351772,4.247921,4.126412,3.976439,3.766913,3.551365,3.402029,3.228256,3.074392,2.956722,2.851730,2.778805,2.676468,2.653506,2.636634,2.689916,2.762510,2.765139,2.758403,2.731499,2.693811,2.628724,2.530639,2.450485,2.418386,2.344147,2.278590,2.231820,2.233614,2.213984,2.262904,2.290334,2.376259,2.420683,2.443620,2.466559
6,5.431252,5.434046,5.444902,5.461241,5.482764,5.518238,5.547841,5.582198,5.621766,5.666128,5.700786,5.720681,5.704124,5.650139,5.559835,5.415243,5.257735,5.127195,4.965512,4.844435,4.724292,4.614570,4.567715,4.474356,4.422369,4.360187,4.307140,4.251356,4.150454,4.043342,3.939834,3.779116,3.609611,3.423189,3.281834,3.136077,2.992168,2.865879,2.782473,2.701042,2.639749,2.626910,2.599046,2.651706,2.714049,2.716272,2.708357,2.679936,2.630448,2.563058,2.472456,2.400061,2.296188,2.230605,2.183952,2.156254,2.157275,2.116991,2.145347,2.162290,2.207802,2.301899,2.354609,2.377452
7,5.309915,5.312983,5.324559,5.341891,5.364762,5.392285,5.434151,5.471064,5.513645,5.560990,5.597023,5.615867,5.597855,5.542820,5.441785,5.316894,5.140486,4.992920,4.886082,4.732161,4.620684,4.518125,4.455532,4.404128,4.321833,4.236814,4.168862,4.098849,3.994498,3.914764,3.789600,3.627419,3.466746,3.308703,3.165290,3.038563,2.907616,2.785289,2.704780,2.625177,2.604534,2.610798,2.571230,2.562994,2.624904,2.646898,2.638608,2.609471,2.548954,2.459553,2.296604,2.232309,2.176899,2.120244,2.082692,2.064161,2.044474,2.063555,2.061328,2.077735,2.092767,2.216470,2.268900,2.291623
8,5.158552,5.161849,5.174011,5.192204,5.216128,5.255226,5.289289,5.338765,5.384427,5.435075,5.472281,5.489119,5.468825,5.401003,5.297590,5.172022,4.956151,4.811214,4.689369,4.571627,4.467259,4.420759,4.321659,4.272055,4.199463,4.112617,4.041848,3.938865,3.842324,3.741155,3.635021,3.481353,3.348494,3.178146,3.063805,2.939046,2.822572,2.724472,2.646771,2.558540,2.508086,2.483365,2.492379,2.503289,2.474778,2.506281,2.547488,2.517759,2.456854,2.376893,2.222441,2.156592,2.150000,2.102677,2.054614,2.005503,1.985184,1.973642,1.980820,2.016639,2.001098,2.084313,2.176394,2.208968
9,4.996916,4.990402,4.993056,5.012008,5.056875,5.087370,5.123334,5.175077,5.223510,5.286973,5.324194,5.339299,5.318002,5.249259,5.074120,4.947863,4.803141,4.620645,4.522701,4.418919,4.317785,4.254349,4.227386,4.148790,4.075845,3.997713,3.895116,3.800338,3.712568,3.610847,3.494520,3.370549,3.226513,3.083396,2.967479,2.855708,2.734908,2.651361,2.596648,2.490051,2.459802,2.424006,2.421323,2.430873,2.381578,2.372621,2.423878,2.414423,2.344556,2.205427,2.150233,2.073060,2.055476,2.017739,2.049549,2.030220,2.009348,1.947200,1.913805,1.918987,1.942727,1.965321,2.076960,2.119344
