grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255
0,327.827635,327.825306,327.825306,327.827635,327.830914,327.834948,327.840103,327.846378,327.853244,327.860698,327.869249,327.878895,327.889134,327.899957,327.911832,327.924754,327.938268,327.952364,327.967451,327.983525,328.000191,328.017436,328.035609,328.054702,328.074389,328.094656,328.115775,328.137738,328.160298,328.183434,328.207295,328.231868,328.257040,328.282778,328.309061,328.335869,328.363275,328.391228,328.419437,328.447870,328.476891,328.506424,328.535768,328.564881,328.594558,328.624690,328.654000,328.682429,328.711362,328.740610,328.767907,328.793198,328.818828,328.844680,328.867843,328.888314,328.909041,328.930168,328.949507,328.967069,328.985051,329.003393,329.019586,329.033610,329.047984,329.062645,329.074762,329.084329,329.094150,329.104213,329.111635,329.116440,329.121476,329.126875,329.130418,329.132146,329.134248,329.136851,329.138366,329.138828,329.139737,329.141110,329.141485,329.140881,329.140671,329.140883,329.140247,329.138778,329.137688,329.136982,329.135455,329.133109,329.131133,329.129519,329.127024,329.123643,329.120624,329.117945,329.114269,329.109582,329.105289,329.101404,329.096646,329.090983,329.085819,329.081060,329.074894,329.067268,329.060088,329.053183,329.043837,329.032008,329.020474,329.009178,328.995108,328.978251,328.961610,328.945145,328.925644,328.903114,328.880681,328.858331,328.832867,328.804296,328.775813,328.747472,328.716334,328.682422,328.648721,328.615404,328.580341,328.543568,328.507181,328.471219,328.433735,328.394752,328.356160,328.318024,328.278745,328.238354,328.198385,328.158915,328.118757,328.077942,328.037589,327.997766,327.957653,327.917279,327.877399,327.838058,327.798697,327.759332,327.720480,327.682163,327.643973,327.605919,327.568382,327.531371,327.494540,327.457894,327.421761,327.386141,327.350686,327.315394,327.280610,327.246321,327.212131,327.178038,327.144438,327.111316,327.078201,327.045091,327.012457,326.980288,326.948052,326.915748,326.883906,326.852519,326.821027,326.789428,326.758280,326.727583,326.696776,326.665859,326.635386,326.605357,326.575225,326.544994,326.515197,326.485842,326.456441,326.426999,326.397988,326.369425,326.340927,326.312503,326.284512,326.256975,326.229619,326.202454,326.175727,326.149452,326.123449,326.097724,326.072437,326.047601,326.023108,325.998963,325.975256,325.951996,325.929129,325.906662,325.884630,325.863046,325.841923,325.821268,325.801050,325.781277,325.762012,325.743259,325.724944,325.707070,325.689738,325.672948,325.656595,325.640681,325.625329,325.610541,325.596187,325.582270,325.568929,325.556166,325.543835,325.531938,325.520628,325.509905,325.499613,325.489753,325.480486,325.471813,325.463570,325.455756,325.448541,325.441925,325.435737,325.429977,325.424820,325.420265,325.416138,325.412437,325.409341,325.406850,325.404886,325.403563,325.403563,325.404886
1,327.827706,327.826497,327.826497,327.827706,327.830767,327.835426,327.840574,327.846202,327.853061,327.861143,327.869681,327.878660,327.888885,327.900343,327.912198,327.924429,327.937925,327.952670,327.967733,327.983089,327.999735,328.017651,328.035795,328.054134,328.073796,328.094759,328.115838,328.136989,328.159511,328.183366,328.207169,328.230853,328.255970,328.282464,328.308661,328.334464,328.361785,328.390538,328.418619,328.445886,328.474781,328.505173,328.534337,328.562071,328.591568,328.622645,328.651702,328.678460,328.707111,328.737368,328.764431,328.788042,328.813501,328.840636,328.863784,328.882929,328.903835,328.926688,328.946065,328.962008,328.979912,328.999697,329.015813,329.028178,329.042464,329.058581,329.070673,329.078713,329.088529,329.100113,329.107630,329.111182,329.116404,329.123488,329.127206,329.127749,329.130041,329.134275,329.135938,329.135195,329.136154,329.138858,329.139323,329.137648,329.137489,329.138890,329.138311,329.135811,329.134734,329.135092,329.133572,329.130182,329.128192,329.127587,329.125069,329.120612,329.117561,329.115882,329.112156,329.106327,329.102029,329.099264,329.094375,329.087216,329.081899,329.078272,329.071887,329.062501,329.055072,329.049342,329.039819,329.026311,329.014685,329.004850,328.990727,328.972259,328.955571,328.940605,328.921129,328.897170,328.874733,328.853807,328.828374,328.798469,328.770059,328.743231,328.712200,328.677083,328.643619,328.612051,328.577137,328.539039,328.502727,328.468275,328.430898,328.390716,328.352229,328.315544,328.276396,328.234928,328.195082,328.156981,328.116958,328.075160,328.034916,327.996336,327.956334,327.915033,327.875229,327.836995,327.797708,327.757450,327.718640,327.681322,327.643172,327.604237,327.566718,327.530630,327.493814,327.456284,327.420150,327.385409,327.349948,327.313764,327.278963,327.245531,327.211325,327.176326,327.142703,327.110435,327.077302,327.043285,327.010633,326.979328,326.947081,326.913879,326.882028,326.851519,326.820025,326.787546,326.756398,326.726583,326.695783,326.664006,326.633538,326.604383,326.574270,326.543217,326.513437,326.484948,326.455579,326.425366,326.396386,326.368671,326.340214,326.311059,326.283101,326.256374,326.229057,326.201192,326.174492,326.148981,326.123010,326.096613,326.071348,326.047237,326.022770,325.997977,325.974287,325.951715,325.928873,325.905787,325.883775,325.862856,325.841755,325.820498,325.800294,325.781157,325.761909,325.742569,325.724263,325.707002,325.689682,325.672316,325.655969,325.640649,325.625306,325.609951,325.595602,325.582264,325.568930,325.555607,325.543280,325.531952,325.520647,325.509370,325.499080,325.489780,325.480517,325.471295,325.463054,325.455794,325.448582,325.441420,325.435234,325.430023,325.424868,325.419770,325.415643,325.412488,325.409393,325.406360,325.404524,325.404037,325.404037,325.404524
2,327.827706,327.826497,327.826497,327.827706,327.830767,327.835426,327.840574,327.846202,327.853061,327.861143,327.869681,327.878660,327.888885,327.900343,327.912198,327.924429,327.937925,327.952670,327.967733,327.983089,327.999735,328.017651,328.035795,328.054134,328.073796,328.094759,328.115838,328.136989,328.159511,328.183366,328.207169,328.230853,328.255970,328.282464,328.308661,328.334464,328.361785,328.390538,328.418619,328.445886,328.474781,328.505173,328.534337,328.562071,328.591568,328.622645,328.651702,328.678460,328.707111,328.737368,328.764431,328.788042,328.813501,328.840636,328.863784,328.882929,328.903835,328.926688,328.946065,328.962008,328.979912,328.999697,329.015813,329.028178,329.042464,329.058581,329.070673,329.078713,329.088529,329.100113,329.107630,329.111182,329.116404,329.123488,329.127206,329.127749,329.130041,329.134275,329.135938,329.135195,329.136154,329.138858,329.139323,329.137648,329.137489,329.138890,329.138311,329.135811,329.134734,329.135092,329.133572,329.130182,329.128192,329.127587,329.125069,329.120612,329.117561,329.115882,329.112156,329.106327,329.102029,329.099264,329.094375,329.087216,329.081899,329.078272,329.071887,329.062501,329.055072,329.049342,329.039819,329.026311,329.014685,329.004850,328.990727,328.972259,328.955571,328.940605,328.921129,328.897170,328.874733,328.853807,328.828374,328.798469,328.770059,328.743231,328.712200,328.677083,328.643619,328.612051,328.577137,328.539039,328.502727,328.468275,328.430898,328.390716,328.352229,328.315544,328.276396,328.234928,328.195082,328.156981,328.116958,328.075160,328.034916,327.996336,327.956334,327.915033,327.875229,327.836995,327.797708,327.757450,327.718640,327.681322,327.643172,327.604237,327.566718,327.530630,327.493814,327.456284,327.420150,327.385409,327.349948,327.313764,327.278963,327.245531,327.211325,327.176326,327.142703,327.110435,327.077302,327.043285,327.010633,326.979328,326.947081,326.913879,326.882028,326.851519,326.820025,326.787546,326.756398,326.726583,326.695783,326.664006,326.633538,326.604383,326.574270,326.543217,326.513437,326.484948,326.455579,326.425366,326.396386,326.368671,326.340214,326.311059,326.283101,326.256374,326.229057,326.201192,326.174492,326.148981,326.123010,326.096613,326.071348,326.047237,326.022770,325.997977,325.974287,325.951715,325.928873,325.905787,325.883775,325.862856,325.841755,325.820498,325.800294,325.781157,325.761909,325.742569,325.724263,325.707002,325.689682,325.672316,325.655969,325.640649,325.625306,325.609951,325.595602,325.582264,325.568930,325.555607,325.543280,325.531952,325.520647,325.509370,325.499080,325.489780,325.480517,325.471295,325.463054,325.455794,325.448582,325.441420,325.435234,325.430023,325.424868,325.419770,325.415643,325.412488,325.409393,325.406360,325.404524,325.404037,325.404037,325.404524
3,327.827635,327.825306,327.825306,327.827635,327.830914,327.834948,327.840103,327.846378,327.853244,327.860698,327.869249,327.878895,327.889134,327.899957,327.911832,327.924754,327.938268,327.952364,327.967451,327.983525,328.000191,328.017436,328.035609,328.054702,328.074389,328.094656,328.115775,328.137738,328.160298,328.183434,328.207295,328.231868,328.257040,328.282778,328.309061,328.335869,328.363275,328.391228,328.419437,328.447870,328.476891,328.506424,328.535768,328.564881,328.594558,328.624690,328.654000,328.682429,328.711362,328.740610,328.767907,328.793198,328.818828,328.844680,328.867843,328.888314,328.909041,328.930168,328.949507,328.967069,328.985051,329.003393,329.019586,329.033610,329.047984,329.062645,329.074762,329.084329,329.094150,329.104213,329.111635,329.116440,329.121476,329.126875,329.130418,329.132146,329.134248,329.136851,329.138366,329.138828,329.139737,329.141110,329.141485,329.140881,329.140671,329.140883,329.140247,329.138778,329.137688,329.136982,329.135455,329.133109,329.131133,329.129519,329.127024,329.123643,329.120624,329.117945,329.114269,329.109582,329.105289,329.101404,329.096646,329.090983,329.085819,329.081060,329.074894,329.067268,329.060088,329.053183,329.043837,329.032008,329.020474,329.009178,328.995108,328.978251,328.961610,328.945145,328.925644,328.903114,328.880681,328.858331,328.832867,328.804296,328.775813,328.747472,328.716334,328.682422,328.648721,328.615404,328.580341,328.543568,328.507181,328.471219,328.433735,328.394752,328.356160,328.318024,328.278745,328.238354,328.198385,328.158915,328.118757,328.077942,328.037589,327.997766,327.957653,327.917279,327.877399,327.838058,327.798697,327.759332,327.720480,327.682163,327.643973,327.605919,327.568382,327.531371,327.494540,327.457894,327.421761,327.386141,327.350686,327.315394,327.280610,327.246321,327.212131,327.178038,327.144438,327.111316,327.078201,327.045091,327.012457,326.980288,326.948052,326.915748,326.883906,326.852519,326.821027,326.789428,326.758280,326.727583,326.696776,326.665859,326.635386,326.605357,326.575225,326.544994,326.515197,326.485842,326.456441,326.426999,326.397988,326.369425,326.340927,326.312503,326.284512,326.256975,326.229619,326.202454,326.175727,326.149452,326.123449,326.097724,326.072437,326.047601,326.023108,325.998963,325.975256,325.951996,325.929129,325.906662,325.884630,325.863046,325.841923,325.821268,325.801050,325.781277,325.762012,325.743259,325.724944,325.707070,325.689738,325.672948,325.656595,325.640681,325.625329,325.610541,325.596187,325.582270,325.568929,325.556166,325.543835,325.531938,325.520628,325.509905,325.499613,325.489753,325.480486,325.471813,325.463570,325.455756,325.448541,325.441925,325.435737,325.429977,325.424820,325.420265,325.416138,325.412437,325.409341,325.406850,325.404886,325.403563,325.403563,325.404886
4,327.828125,327.825760,327.825760,327.828125,327.831409,327.835417,327.840583,327.846907,327.853786,327.861218,327.869789,327.879499,327.889759,327.900563,327.912467,327.925469,327.939014,327.953091,327.968214,327.984382,328.001081,328.018304,328.036520,328.055726,328.075455,328.095699,328.116878,328.138990,328.161614,328.184731,328.208680,328.233454,328.258716,328.284443,328.310855,328.337942,328.365483,328.393438,328.421835,328.450661,328.479878,328.509422,328.539032,328.568694,328.598630,328.628756,328.658428,328.687647,328.716839,328.745852,328.773475,328.799724,328.825484,328.850657,328.873845,328.895042,328.915744,328.936103,328.955393,328.973607,328.991604,329.009327,329.025617,329.040493,329.054898,329.068783,329.080931,329.091350,329.101143,329.110287,329.117584,329.123017,329.127948,329.132472,329.135777,329.137841,329.139785,329.141708,329.143012,329.143694,329.144469,329.145337,329.145578,329.145199,329.144900,329.144699,329.143983,329.142753,329.141626,329.140604,329.139067,329.137015,329.135052,329.133167,329.130705,329.127666,329.124682,329.121741,329.118136,329.113866,329.109668,329.105572,329.101001,329.095955,329.090979,329.086006,329.080149,329.073415,329.066444,329.059092,329.049991,329.039153,329.027709,329.015635,329.001632,328.985716,328.969066,328.951654,328.932118,328.910459,328.888005,328.864737,328.839236,328.811488,328.782989,328.753762,328.722487,328.689130,328.655339,328.621253,328.585992,328.549530,328.513038,328.476523,328.438884,328.400121,328.361378,328.322710,328.283237,328.242971,328.202821,328.162856,328.122496,328.081759,328.041240,328.000999,327.960722,327.920422,327.880421,327.840755,327.801284,327.762014,327.723088,327.684525,327.646275,327.608341,327.570770,327.533569,327.496717,327.460216,327.424080,327.388305,327.352858,327.317738,327.282970,327.248545,327.214382,327.180477,327.146904,327.113647,327.080561,327.047643,327.015030,326.982712,326.950494,326.918374,326.886541,326.854987,326.823497,326.792069,326.760916,326.730038,326.699220,326.668461,326.637972,326.607755,326.577596,326.547498,326.517666,326.488111,326.458660,326.429320,326.400256,326.371488,326.342928,326.314583,326.286537,326.258809,326.231396,326.204302,326.177528,326.151086,326.125035,326.099377,326.074053,326.049070,326.024537,326.000457,325.976718,325.953326,325.930423,325.908012,325.885947,325.864241,325.843085,325.822483,325.802240,325.782361,325.763071,325.744372,325.726038,325.708073,325.690722,325.673986,325.657619,325.641623,325.626258,325.611523,325.597159,325.583167,325.569816,325.557107,325.544768,325.532802,325.521484,325.510815,325.500517,325.490591,325.481318,325.472699,325.464451,325.456575,325.449356,325.442793,325.436602,325.430783,325.425622,325.421121,325.416991,325.413233,325.410135,325.407699,325.405733,325.404355,325.404355,325.405733
5,327.829144,327.827817,327.827817,327.829144,327.832220,327.836792,327.841972,327.847755,327.854651,327.862657,327.871252,327.880431,327.890718,327.902105,327.914046,327.926529,327.940114,327.954787,327.969956,327.985605,328.002351,328.020179,328.038447,328.057140,328.076926,328.097792,328.119044,328.140662,328.163370,328.187139,328.211193,328.235504,328.260885,328.287302,328.313867,328.340542,328.368257,328.396954,328.425578,328.454071,328.483533,328.513874,328.543804,328.573245,328.603495,328.634425,328.664493,328.693694,328.723076,328.752440,328.780388,328.806997,328.832817,328.857725,328.880949,328.902464,328.923303,328.943677,328.962922,328.981012,328.998952,329.016668,329.033031,329.048128,329.062484,329.076045,329.088212,329.099024,329.108764,329.117402,329.124591,329.130256,329.135200,329.139531,329.142616,329.144354,329.146208,329.148303,329.149385,329.149437,329.150009,329.151105,329.151190,329.150295,329.149874,329.149958,329.149150,329.147459,329.146279,329.145608,329.144060,329.141634,329.139681,329.138180,329.135753,329.132400,329.129449,329.126886,329.123360,329.118867,329.114837,329.111314,329.106946,329.101735,329.096953,329.092509,329.086974,329.080383,329.073542,329.066260,329.057399,329.047025,329.035640,329.023229,329.009277,328.993846,328.977116,328.959069,328.939493,328.918392,328.895904,328.872003,328.846486,328.819289,328.790865,328.761212,328.729842,328.696611,328.662923,328.628939,328.593511,328.556513,328.519919,328.483720,328.445910,328.406495,328.367567,328.329211,328.289498,328.248501,328.208119,328.168462,328.127853,328.086372,328.045637,328.005742,327.965262,327.924260,327.884100,327.844840,327.805234,327.765321,327.726298,327.688194,327.649871,327.611347,327.573730,327.537028,327.500152,327.463107,327.426963,327.391715,327.356279,327.320649,327.285901,327.252018,327.217888,327.183497,327.149956,327.117240,327.084190,327.050791,327.018204,326.986409,326.954213,326.921607,326.889781,326.858726,326.827238,326.795314,326.764152,326.733751,326.702919,326.671659,326.641148,326.611385,326.581194,326.550583,326.520706,326.491575,326.462063,326.432193,326.403059,326.374691,326.346054,326.317176,326.289056,326.261722,326.234237,326.206624,326.179787,326.153744,326.127634,326.101474,326.076097,326.051518,326.026938,326.002368,325.978585,325.955596,325.932648,325.909755,325.887645,325.866336,325.845139,325.824067,325.803789,325.784314,325.764995,325.745838,325.727480,325.709926,325.692553,325.675366,325.658980,325.643398,325.628016,325.612838,325.598460,325.584883,325.571519,325.558373,325.546023,325.534472,325.523145,325.512044,325.501738,325.492227,325.482947,325.473900,325.465646,325.458184,325.450960,325.443974,325.437778,325.432373,325.427209,325.422287,325.418154,325.414810,325.411711,325.408855,325.407017,325.406346,325.406346,325.407017
6,327.829899,327.828565,327.828565,327.829899,327.832985,327.837570,327.842766,327.848568,327.855486,327.863516,327.872139,327.881352,327.891676,327.903103,327.915090,327.927627,327.941269,327.955999,327.971225,327.986933,328.003737,328.021625,328.039956,328.058715,328.078570,328.099511,328.120851,328.142571,328.165388,328.189275,328.213458,328.237911,328.263443,328.290024,328.316778,328.343667,328.371612,328.400556,328.429460,328.458266,328.488060,328.518753,328.549069,328.578934,328.609620,328.640978,328.671445,328.701017,328.730750,328.760435,328.788639,328.815440,328.841416,328.866447,328.889732,328.911245,328.932058,328.952402,328.971629,328.989711,329.007647,329.025360,329.041713,329.056798,329.071138,329.084683,329.096831,329.107623,329.117341,329.125951,329.133100,329.138713,329.143595,329.147843,329.150801,329.152369,329.154033,329.155929,329.156804,329.156643,329.156999,329.157889,329.157790,329.156733,329.156165,329.156117,329.155206,329.153444,329.152209,329.151499,329.149937,329.147525,329.145597,329.144127,329.141733,329.138417,329.135507,329.132998,329.129557,329.125178,329.121280,329.117912,329.113747,329.108786,329.104275,329.100111,329.094864,329.088570,329.082020,329.074997,329.066317,329.056046,329.044726,329.032351,329.018390,329.002905,328.986106,328.967993,328.948375,328.927256,328.904764,328.880875,328.855403,328.828282,328.799943,328.770363,328.739033,328.705807,328.672105,328.638093,328.602616,328.565544,328.528860,328.492543,328.454555,328.414904,328.375712,328.337075,328.297059,328.255734,328.215017,328.175027,328.134094,328.092301,328.051261,328.011076,327.970337,327.929106,327.888734,327.849277,327.809503,327.769451,327.730304,327.692089,327.653677,327.615088,327.577416,327.540669,327.503766,327.466709,327.430563,327.395320,327.359902,327.324301,327.289589,327.255746,327.221662,327.187324,327.153838,327.121176,327.088175,327.054821,327.022275,326.990517,326.958349,326.925763,326.893952,326.862908,326.831421,326.799491,326.768317,326.737902,326.707054,326.675775,326.645242,326.615452,326.585221,326.554559,326.524623,326.495426,326.465835,326.435872,326.406639,326.378169,326.349430,326.320449,326.292226,326.264793,326.237216,326.209517,326.182598,326.156477,326.130293,326.104062,326.078618,326.053975,326.029335,326.004712,325.980876,325.957833,325.934827,325.911871,325.889696,325.868326,325.847074,325.825956,325.805634,325.786119,325.766763,325.747575,325.729187,325.711604,325.694204,325.676993,325.660584,325.644980,325.629577,325.614381,325.599985,325.586391,325.573013,325.559852,325.547490,325.535926,325.524587,325.513475,325.503159,325.493638,325.484349,325.475295,325.467033,325.459564,325.452333,325.445341,325.439139,325.433729,325.428561,325.423635,325.419498,325.416151,325.413049,325.410191,325.408351,325.407680,325.407680,325.408351
7,327.830389,327.827997,327.827997,327.830389,327.833704,327.837747,327.842962,327.849346,327.856290,327.863789,327.872447,327.882262,327.892631,327.903549,327.915593,327.928762,327.942477,327.956725,327.972023,327.988365,328.005239,328.022640,328.041044,328.060450,328.080384,328.100840,328.122285,328.144714,328.167666,328.191123,328.215460,328.240672,328.266384,328.292580,328.319559,328.347312,328.375540,328.404207,328.433444,328.463239,328.493450,328.524016,328.554789,328.585753,328.617011,328.648444,328.679315,328.709624,328.739878,328.769908,328.798300,328.825069,328.851298,328.876892,328.900261,328.921400,328.942006,328.962267,328.981500,328.999701,329.017692,329.035407,329.051671,329.066503,329.080860,329.094696,329.106789,329.117148,329.126876,329.135948,329.143126,329.148392,329.153142,329.157455,329.160381,329.161896,329.163261,329.164595,329.165280,329.165312,329.165434,329.165664,329.165353,329.164509,329.163764,329.163141,329.162119,329.160701,329.159410,329.158245,329.156669,329.154682,329.152801,329.151004,329.148642,329.145715,329.142850,329.140046,329.136693,329.132790,329.128983,329.125314,329.121352,329.117096,329.112942,329.108803,329.103811,329.097974,329.091895,329.085387,329.076828,329.066234,329.054978,329.043050,329.029021,329.012905,328.996029,328.978399,328.958738,328.937045,328.914578,328.891321,328.865952,328.838458,328.810229,328.781255,328.750097,328.716724,328.682891,328.648742,328.613330,328.576628,328.539874,328.503055,328.464884,328.425362,328.385818,328.346328,328.305942,328.264677,328.223513,328.182538,328.141208,328.099543,328.058105,328.016967,327.975911,327.934952,327.894314,327.854034,327.814059,327.774397,327.735101,327.696186,327.657669,327.619556,327.581823,327.544474,327.507539,327.471020,327.434878,327.399108,327.363713,327.328692,327.294033,327.259723,327.225698,327.191958,327.158552,327.125461,327.092522,327.059732,327.027245,326.995045,326.962913,326.930845,326.899057,326.867543,326.836057,326.804600,326.773411,326.742495,326.711628,326.680809,326.650257,326.619968,326.589691,326.559427,326.529421,326.499679,326.469990,326.440358,326.410995,326.381924,326.353058,326.324403,326.296048,326.268014,326.240324,326.212980,326.185962,326.159279,326.133005,326.107142,326.081615,326.056435,326.031724,326.007486,325.983592,325.960043,325.936964,325.914360,325.892101,325.870203,325.848884,325.828147,325.807774,325.787769,325.768371,325.749580,325.731157,325.713106,325.695675,325.678867,325.662430,325.646366,325.630939,325.616151,325.601734,325.587692,325.574295,325.561544,325.549166,325.537161,325.525809,325.515108,325.504780,325.494824,325.485525,325.476882,325.468611,325.460713,325.453474,325.446894,325.440686,325.434851,325.429677,325.425164,325.421024,325.417255,325.414149,325.411706,325.409736,325.408353,325.408353,325.409736
8,327.831385,327.828986,327.828986,327.831385,327.834713,327.838771,327.844005,327.850416,327.857387,327.864916,327.873610,327.883468,327.893883,327.904852,327.916958,327.930202,327.943985,327.958295,327.973668,327.990105,328.007053,328.024507,328.042992,328.062506,328.082531,328.103067,328.124626,328.147204,328.170293,328.193878,328.218381,328.243800,328.269711,328.296099,328.323321,328.351368,328.379891,328.408857,328.438454,328.468675,328.499303,328.530280,328.561540,328.593081,328.624789,328.656539,328.687809,328.718613,328.749133,328.779202,328.807745,328.834773,328.861099,328.886641,328.910103,328.931489,328.952156,328.972293,328.991548,329.009914,329.027868,329.045337,329.061480,329.076290,329.090568,329.104262,329.116287,329.126637,329.136369,329.145454,329.152693,329.158079,329.162881,329.167171,329.170113,329.171686,329.172985,329.174121,329.174630,329.174496,329.174409,329.174394,329.173861,329.172808,329.171903,329.171166,329.170029,329.168492,329.167146,329.165985,329.164394,329.162372,329.160506,329.158769,329.156437,329.153512,329.150690,329.147980,329.144715,329.140899,329.137218,329.133719,329.129951,329.125929,329.121979,329.118014,329.113252,329.107714,329.101800,329.095318,329.086847,329.076404,329.065141,329.053055,329.038935,329.022780,329.005832,328.988104,328.968400,328.946717,328.924283,328.901086,328.875843,328.848560,328.820467,328.791566,328.760630,328.727671,328.693967,328.659679,328.624383,328.588079,328.551302,328.514037,328.475694,328.436245,328.396475,328.356435,328.315667,328.274143,328.232607,328.191133,328.149376,328.107334,328.065503,328.023956,327.982554,327.941307,327.900391,327.859841,327.819648,327.779816,327.740361,327.701295,327.662666,327.624477,327.586677,327.549266,327.512299,327.475774,327.439634,327.403870,327.368502,327.333529,327.298922,327.264666,327.230709,327.197047,327.163720,327.130701,327.097832,327.065109,327.032679,327.000527,326.968434,326.936397,326.904629,326.873123,326.841638,326.810174,326.778969,326.748031,326.717142,326.686303,326.655725,326.625397,326.595070,326.564743,326.534659,326.504824,326.475026,326.445270,326.415770,326.386555,326.357547,326.328754,326.300258,326.272084,326.244268,326.216815,326.189684,326.162885,326.136511,326.110567,326.084950,326.059671,326.034882,326.010588,325.986618,325.962973,325.939817,325.917151,325.894816,325.872829,325.851438,325.830641,325.810213,325.790155,325.770710,325.751880,325.733419,325.715330,325.697866,325.681029,325.664562,325.648468,325.633015,325.618203,325.603764,325.589699,325.576282,325.563513,325.551118,325.539096,325.527728,325.517014,325.506672,325.496704,325.487393,325.478740,325.470459,325.462551,325.455303,325.448715,325.442500,325.436658,325.431478,325.426960,325.422815,325.419041,325.415932,325.413487,325.411514,325.410130,325.410130,325.411514
9,327.832884,327.831525,327.831525,327.832884,327.836006,327.840635,327.845891,327.851773,327.858772,327.866887,327.875619,327.884965,327.895428,327.907000,327.919170,327.931936,327.945782,327.960690,327.976141,327.992136,328.009157,328.027197,328.045767,328.064856,328.084987,328.106157,328.127836,328.150012,328.173240,328.197497,328.222178,328.247263,328.273386,328.300526,328.328007,328.355797,328.384623,328.414439,328.444422,328.474526,328.505569,328.537463,328.569219,328.600833,328.632870,328.665154,328.696802,328.727872,328.758396,328.788177,328.816840,328.844442,328.870700,328.895535,328.919085,328.941368,328.962368,328.982299,329.001588,329.020208,329.038041,329.054999,329.071026,329.086085,329.100196,329.113303,329.125264,329.136056,329.145788,329.154416,329.161740,329.167723,329.172765,329.176934,329.179940,329.181690,329.183162,329.184473,329.184837,329.184179,329.183903,329.184057,329.183305,329.181632,329.180588,329.180197,329.178950,329.176835,329.175437,329.174742,329.173139,329.170621,329.168740,329.167456,329.165150,329.161831,329.159046,329.156813,329.153625,329.149509,329.145979,329.143101,329.139502,329.135248,329.131342,329.127682,329.123105,329.117715,329.111663,329.104709,329.096289,329.086479,329.075139,329.062281,329.048065,329.032486,329.015474,328.997049,328.977312,328.956239,328.933843,328.910104,328.884981,328.858506,328.830552,328.801132,328.770410,328.738447,328.705109,328.670596,328.635429,328.599609,328.562861,328.525154,328.486687,328.447334,328.407490,328.367195,328.326089,328.284039,328.242224,328.200734,328.158538,328.115637,328.073409,328.031980,327.990200,327.948129,327.906927,327.866642,327.826217,327.785675,327.746055,327.707375,327.668629,327.629825,327.591954,327.555015,327.518017,327.480955,327.444814,327.409581,327.374247,327.338798,327.304245,327.270560,327.236683,327.202587,327.169340,327.136898,327.104111,327.070953,327.038580,327.006969,326.974920,326.942422,326.910671,326.879656,326.848168,326.816215,326.784989,326.754506,326.723595,326.692259,326.661650,326.631750,326.601372,326.570516,326.540348,326.510875,326.480955,326.450614,326.420965,326.392062,326.362892,326.333498,326.304849,326.276988,326.249031,326.221009,326.193751,326.167275,326.140792,326.114323,326.088607,326.063661,326.038785,326.013998,325.989937,325.966603,325.943363,325.920228,325.897828,325.876188,325.854723,325.833431,325.812944,325.793267,325.773774,325.754469,325.735968,325.718273,325.700774,325.683475,325.666976,325.651282,325.635801,325.620535,325.606071,325.592410,325.578972,325.565758,325.553344,325.541729,325.530345,325.519192,325.508835,325.499276,325.489952,325.480866,325.472574,325.465076,325.457819,325.450804,325.444580,325.439149,325.433963,325.429021,325.424870,325.421510,325.418397,325.415531,325.413685,325.413009,325.413009,325.413685
