grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
0,327.826786,327.838164,327.865579,327.906441,327.960378,328.026907,328.105492,328.195474,328.295788,328.404830,328.520041,328.637506,328.751253,328.852565,328.936798,329.008155,329.065019,329.104236,329.125720,329.135468,329.139399,329.138885,329.134602,329.126597,329.114293,329.097151,329.075450,329.044957,328.998191,328.931249,328.841445,328.728077,328.594985,328.449938,328.296297,328.137273,327.976613,327.817608,327.662488,327.512454,327.367907,327.228656,327.094096,326.963433,326.836000,326.711409,326.589546,326.470476,326.354646,326.242911,326.136181,326.035180,325.940463,325.852469,325.771691,325.698495,325.633128,325.575744,325.526444,325.485292,325.452330,325.427587,325.411081,325.404252
1,327.828462,327.839919,327.867535,327.908730,327.963136,328.030197,328.109448,328.200415,328.302144,328.413288,328.531519,328.652939,328.770451,328.873605,328.957690,329.029163,329.086343,329.125156,329.145201,329.152712,329.154597,329.152715,329.147879,329.140040,329.128288,329.112594,329.093670,329.066164,329.020688,328.953582,328.863549,328.750022,328.615872,328.469290,328.313339,328.151499,327.988250,327.827359,327.671101,327.520544,327.375942,327.236963,327.102825,326.972500,326.845199,326.720532,326.598434,326.478844,326.362206,326.249613,326.142155,326.040559,325.945339,325.856833,325.775660,325.702184,325.636604,325.579062,325.529642,325.488399,325.455369,325.430576,325.414038,325.407196
2,327.832397,327.844036,327.872089,327.914025,327.969498,328.037723,328.118465,328.211627,328.316531,328.432395,328.557247,328.685676,328.807430,328.912220,328.997192,329.068179,329.124251,329.163119,329.183879,329.190345,329.189033,329.184632,329.178909,329.171274,329.160241,329.146503,329.130720,329.105745,329.060255,328.992156,328.902599,328.791051,328.658705,328.511756,328.352389,328.184785,328.015315,327.849984,327.691190,327.539558,327.394975,327.256830,327.123933,326.994526,326.867537,326.742625,326.620082,326.499243,326.380435,326.265589,326.156315,326.053269,325.956830,325.867146,325.785089,325.711003,325.644950,325.587044,325.537347,325.495892,325.462700,325.437790,325.421175,325.414301
3,327.838014,327.849903,327.878525,327.921382,327.978098,328.047749,328.130480,328.226470,328.335503,328.457399,328.590000,328.724321,328.847783,328.952817,329.039434,329.110900,329.166470,329.206579,329.230858,329.239838,329.237324,329.231527,329.225624,329.218157,329.207239,329.193884,329.178129,329.151744,329.104344,329.035260,328.946015,328.835674,328.705148,328.559728,328.400657,328.229178,328.052367,327.881260,327.719389,327.566649,327.422428,327.285891,327.155296,327.027299,326.900551,326.775121,326.651899,326.529198,326.407078,326.288632,326.176551,326.071292,325.973077,325.881997,325.798887,325.724008,325.657322,325.598920,325.548837,325.507080,325.473655,325.448574,325.431846,325.424925
4,327.844960,327.857146,327.886456,327.930421,327.988662,328.060036,328.144982,328.243900,328.356964,328.484327,328.623148,328.760491,328.883926,328.989351,329.077850,329.151168,329.208273,329.250931,329.279715,329.293455,329.294773,329.291756,329.287633,329.280861,329.269405,329.254310,329.235138,329.203547,329.152392,329.081193,328.991097,328.881233,328.751519,328.606608,328.448127,328.275271,328.093677,327.917933,327.753590,327.600260,327.456862,327.322470,327.194576,327.067710,326.940707,326.814330,326.689466,326.564497,326.439251,326.317009,326.201721,326.093945,325.993761,325.901121,325.816806,325.741000,325.673583,325.614597,325.564046,325.521913,325.488192,325.462889,325.446011,325.439029
5,327.852829,327.865327,327.895416,327.940657,328.000651,328.073945,328.161182,328.262895,328.379422,328.510876,328.653494,328.792234,328.915552,329.021583,329.111301,329.186263,329.246339,329.292604,329.326204,329.347019,329.357304,329.360683,329.359925,329.354737,329.342543,329.323363,329.297031,329.257800,329.201772,329.127921,329.036412,328.926439,328.796913,328.651365,328.492029,328.318256,328.134392,327.956722,327.791730,327.638805,327.496468,327.363506,327.236634,327.109916,326.982510,326.855139,326.728403,326.601499,326.473811,326.348724,326.230639,326.120485,326.018386,325.924147,325.838590,325.761820,325.693614,325.633984,325.582904,325.540334,325.506259,325.480683,325.463620,325.456559
6,327.861252,327.874046,327.904902,327.951241,328.012764,328.088238,328.177841,328.282198,328.401766,328.536128,328.680786,328.820681,328.944124,329.050139,329.139835,329.215243,329.277735,329.327195,329.365512,329.394435,329.414292,329.424570,329.427715,329.424356,329.412369,329.390187,329.357140,329.311356,329.250454,329.173342,329.079834,328.969116,328.839611,328.693189,328.531834,328.356077,328.172168,327.995879,327.832473,327.681042,327.539749,327.406910,327.279046,327.151706,327.024049,326.896272,326.768357,326.639936,326.510448,326.383058,326.262456,326.150061,326.046188,325.950605,325.863952,325.786254,325.717275,325.656991,325.605347,325.562290,325.527802,325.501899,325.484609,325.477452
7,327.869915,327.882983,327.914559,327.961891,328.024762,328.102285,328.194151,328.301064,328.423645,328.560990,328.707023,328.845867,328.967855,329.072820,329.161785,329.236894,329.300486,329.352920,329.396082,329.432161,329.460684,329.478125,329.485532,329.484128,329.471833,329.446814,329.408862,329.358849,329.294498,329.214764,329.119600,329.007419,328.876746,328.728703,328.565290,328.388563,328.207616,328.035289,327.874780,327.725177,327.584534,327.450798,327.321230,327.192994,327.064904,326.936898,326.808608,326.679471,326.548954,326.419553,326.296604,326.182309,326.076899,325.980244,325.892692,325.814161,325.744474,325.683555,325.631328,325.587735,325.552767,325.526470,325.508900,325.501623
8,327.878552,327.891849,327.924011,327.972204,328.036128,328.115226,328.209289,328.318765,328.444427,328.585075,328.732281,328.869119,328.988825,329.091003,329.177590,329.252022,329.316151,329.371214,329.419369,329.461627,329.497259,329.520759,329.531659,329.532055,329.519463,329.492617,329.451848,329.398865,329.332324,329.251155,329.155021,329.041353,328.908494,328.758146,328.593805,328.419046,328.242572,328.074472,327.916771,327.768540,327.628086,327.493365,327.362379,327.233289,327.104778,326.976281,326.847488,326.717759,326.586854,326.456893,326.332441,326.216592,326.110000,326.012677,325.924614,325.845503,325.775184,325.713642,325.660820,325.616639,325.581098,325.554313,325.536394,325.528968
9,327.886916,327.900402,327.933056,327.982008,328.046875,328.127370,328.223334,328.335077,328.463510,328.606973,328.754194,328.889299,329.008002,329.109259,329.194120,329.267863,329.333141,329.390645,329.442701,329.488919,329.527785,329.554349,329.567386,329.568790,329.555845,329.527713,329.485116,329.430338,329.362568,329.280847,329.184520,329.070549,328.936513,328.783396,328.617479,328.445708,328.274908,328.111361,327.956648,327.810051,327.669802,327.534006,327.401323,327.270873,327.141578,327.012621,326.883878,326.754423,326.624556,326.495427,326.370233,326.253060,326.145476,326.047739,325.959549,325.880220,325.809348,325.747200,325.693805,325.648987,325.612727,325.585321,325.566960,325.559344
