bin_min_k,bin_max_k,count
324.900422164,324.959604034,93194
324.959604034,325.018785905,150876
325.018785905,325.077967775,154065
325.077967775,325.137149645,161784
325.137149645,325.196331516,174062
325.196331516,325.255513386,187326
325.255513386,325.314695257,194658
325.314695257,325.373877127,196086
325.373877127,325.433058998,243482
325.433058998,325.492240868,282435
325.492240868,325.551422738,289364
325.551422738,325.610604609,308170
325.610604609,325.669786479,355416
325.669786479,325.728968350,442505
325.728968350,325.788150220,384089
325.788150220,325.847332091,358262
325.847332091,325.906513961,347382
325.906513961,325.965695831,347410
325.965695831,326.024877702,350715
326.024877702,326.084059572,358060
326.084059572,326.143241443,382736
326.143241443,326.202423313,453077
326.202423313,326.261605184,377165
326.261605184,326.320787054,330970
326.320787054,326.379968924,300885
326.379968924,326.439150795,279508
326.439150795,326.498332665,264667
326.498332665,326.557514536,254205
326.557514536,326.616696406,245813
326.616696406,326.675878277,238559
326.675878277,326.735060147,230447
326.735060147,326.794242017,222381
326.794242017,326.853423888,213936
326.853423888,326.912605758,205579
326.912605758,326.971787629,198067
326.971787629,327.030969499,191400
327.030969499,327.090151370,184842
327.090151370,327.149333240,178453
327.149333240,327.208515110,172579
327.208515110,327.267696981,167215
327.267696981,327.326878851,162223
327.326878851,327.386060722,157608
327.386060722,327.445242592,153388
327.445242592,327.504424463,148834
327.504424463,327.563606333,144975
327.563606333,327.622788203,141282
327.622788203,327.681970074,138393
327.681970074,327.741151944,135770
327.741151944,327.800333815,134754
327.800333815,327.859515685,183649
327.859515685,327.918697556,254376
327.918697556,327.977879426,255436
327.977879426,328.037061296,196368
328.037061296,328.096243167,176729
328.096243167,328.155425037,163512
328.155425037,328.214606908,154213
328.214606908,328.273788778,146624
328.273788778,328.332970649,140652
328.332970649,328.392152519,135854
328.392152519,328.451334389,131974
328.451334389,328.510516260,128416
328.510516260,328.569698130,126146
328.569698130,328.628880001,124311
328.628880001,328.688061871,123912
328.688061871,328.747243742,123996
328.747243742,328.806425612,125869
328.806425612,328.865607482,128115
328.865607482,328.924789353,132211
328.924789353,328.983971223,137359
328.983971223,329.043153094,145329
329.043153094,329.102334964,164093
329.102334964,329.161516835,222177
329.161516835,329.220698705,190331
329.220698705,329.279880575,175330
329.279880575,329.339062446,168659
329.339062446,329.398244316,166479
329.398244316,329.457426187,164883
329.457426187,329.516608057,162978
329.516608057,329.575789928,161162
329.575789928,329.634971798,177021
