rank,fine_x,fine_y,source_grid_x,source_grid_y,x_m,y_m,temperature_k,delta_over_ambient_k
1,1376,959,21,14,0.00113381928613,0.000790337526367,329.634972,11.484972
2,1377,959,21,14,0.0011346429834,0.000790337526367,329.634960,11.484960
3,1376,960,21,15,0.00113381928613,0.000791161223633,329.634939,11.484939
4,1378,959,21,14,0.00113546668066,0.000790337526367,329.634932,11.484932
5,1377,960,21,15,0.0011346429834,0.000791161223633,329.634927,11.484927
6,1375,959,21,14,0.00113299558887,0.000790337526367,329.634924,11.484924
7,1378,960,21,15,0.00113546668066,0.000791161223633,329.634898,11.484898
8,1379,959,21,14,0.00113629037793,0.000790337526367,329.634898,11.484898
9,1407,927,21,14,0.00115935390137,0.000763979213867,329.634894,11.484894
10,1375,960,21,15,0.00113299558887,0.000791161223633,329.634892,11.484892
11,1407,926,21,14,0.00115935390137,0.000763155516602,329.634886,11.484886
12,1407,928,21,14,0.00115935390137,0.000764802911133,329.634883,11.484883
13,1407,925,21,14,0.00115935390137,0.000762331819336,329.634873,11.484873
14,1408,927,22,14,0.00116017759863,0.000763979213867,329.634866,11.484866
15,1379,960,21,15,0.00113629037793,0.000791161223633,329.634864,11.484864
16,1380,959,21,14,0.0011371140752,0.000790337526367,329.634860,11.484860
17,1408,926,22,14,0.00116017759863,0.000763155516602,329.634859,11.484859
18,1407,924,21,14,0.00115935390137,0.00076150812207,329.634858,11.484858
19,1408,928,22,14,0.00116017759863,0.000764802911133,329.634855,11.484855
20,1407,929,21,14,0.00115935390137,0.000765626608398,329.634854,11.484854
