step,time_s,min_k,mean_k,max_k,max_block
0,0,318.150000,318.150000,318.150000,pe_array
1,1.6098884e-05,318.150000,318.150000,318.150000,pe_array
2,3.2197768e-05,318.150000,318.150000,318.150000,pe_array
3,4.8296652e-05,318.150000,318.150000,318.150000,pe_array
4,6.4395536e-05,318.150000,318.150000,318.150000,pe_array
5,8.049442e-05,318.150000,318.150000,318.150000,pe_array
6,9.6593304e-05,318.150000,318.150000,318.150000,pe_array
7,0.000112692188,318.150000,318.150000,318.150000,pe_array
8,0.000128791072,318.150000,318.150000,318.150000,pe_array
9,0.000144889956,318.150000,318.150000,318.150000,pe_array
10,0.00016098884,318.150000,318.150000,318.150000,pe_array
11,0.000177087724,318.150000,318.150000,318.150000,pe_array
12,0.000193186608,318.150000,318.150000,318.150000,pe_array
13,0.000209285492,318.150000,318.150000,318.150000,pe_array
14,0.000225384376,318.150000,318.150000,318.150000,pe_array
15,0.00024148326,318.150000,318.150000,318.150000,pe_array
16,0.000257582144,318.150000,318.150000,318.150000,pe_array
17,0.000273681028,318.150000,318.150000,318.150000,pe_array
18,0.000289779912,318.150000,318.150000,318.150000,pe_array
19,0.000305878796,318.150000,318.150000,318.150000,pe_array
20,0.00032197768,318.150000,318.150000,318.150000,pe_array
21,0.000338076564,318.150000,318.150000,318.150000,pe_array
22,0.000354175448,318.150000,318.150000,318.150000,pe_array
23,0.000370274332,318.150000,318.150000,318.150000,pe_array
24,0.000386373216,318.150000,318.150000,318.150000,pe_array
25,0.0004024721,318.150000,318.150000,318.150000,pe_array
26,0.000418570984,318.150000,318.150000,318.150000,pe_array
27,0.000434669868,318.150000,318.152000,318.160000,other_context
28,0.000450768752,318.150000,318.152000,318.160000,other_context
29,0.000466867636,318.150000,318.152000,318.160000,other_context
30,0.00048296652,318.150000,318.152000,318.160000,other_context
31,0.000499065404,318.150000,318.152000,318.160000,other_context
32,0.000515164288,318.150000,318.152000,318.160000,other_context
33,0.000531263172,318.150000,318.152000,318.160000,other_context
34,0.000547362056,318.150000,318.152000,318.160000,other_context
35,0.00056346094,318.150000,318.152000,318.160000,other_context
36,0.000579559824,318.150000,318.152000,318.160000,other_context
37,0.000595658708,318.150000,318.152000,318.160000,other_context
38,0.000611757592,318.150000,318.152000,318.160000,other_context
39,0.000627856476,318.150000,318.152000,318.160000,other_context
40,0.00064395536,318.150000,318.152000,318.160000,other_context
41,0.000660054244,318.150000,318.152000,318.160000,other_context
42,0.000676153128,318.150000,318.152000,318.160000,other_context
43,0.000692252012,318.150000,318.152000,318.160000,other_context
44,0.000708350896,318.150000,318.152000,318.160000,other_context
45,0.00072444978,318.150000,318.152000,318.160000,other_context
46,0.000740548664,318.150000,318.152000,318.160000,other_context
47,0.000756647548,318.150000,318.152000,318.160000,other_context
48,0.000772746432,318.150000,318.152000,318.160000,other_context
49,0.000788845316,318.150000,318.152000,318.160000,other_context
50,0.0008049442,318.150000,318.152000,318.160000,other_context
51,0.000821043084,318.150000,318.152000,318.160000,other_context
52,0.000837141968,318.150000,318.152000,318.160000,other_context
53,0.000853240852,318.150000,318.152000,318.160000,other_context
54,0.000869339736,318.150000,318.152000,318.160000,other_context
55,0.00088543862,318.150000,318.152000,318.160000,other_context
56,0.000901537504,318.150000,318.152000,318.160000,other_context
57,0.000917636388,318.150000,318.152000,318.160000,other_context
58,0.000933735272,318.150000,318.152000,318.160000,other_context
59,0.000949834156,318.150000,318.172000,318.230000,other_context
60,0.00096593304,318.150000,318.170000,318.220000,other_context
61,0.000982031924,318.150000,318.170000,318.220000,other_context
62,0.000998130808,318.150000,318.168000,318.210000,other_context
63,0.00101422969,318.150000,318.168000,318.210000,other_context
