rank,grid_x,grid_y,temperature_k,delta_over_ambient_k
1,22,16,333.720000,15.570000
2,22,18,333.700000,15.550000
3,21,17,333.690000,15.540000
4,23,16,333.690000,15.540000
5,21,18,333.690000,15.540000
6,22,17,333.680000,15.530000
7,23,18,333.670000,15.520000
8,23,17,333.660000,15.510000
9,22,15,333.660000,15.510000
10,21,16,333.660000,15.510000
11,20,17,333.640000,15.490000
12,20,18,333.640000,15.490000
13,23,15,333.630000,15.480000
14,21,19,333.620000,15.470000
15,21,15,333.620000,15.470000
16,22,19,333.620000,15.470000
17,20,19,333.610000,15.460000
18,20,16,333.610000,15.460000
19,20,15,333.590000,15.440000
20,24,16,333.590000,15.440000
