grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
0,326.300000,326.340000,326.440000,326.570000,326.760000,326.980000,327.250000,327.560000,327.910000,328.290000,328.700000,329.120000,329.530000,329.890000,330.190000,330.440000,330.650000,330.810000,330.870000,330.910000,330.960000,331.000000,331.030000,331.060000,331.090000,331.090000,331.090000,331.090000,331.040000,330.940000,330.760000,330.430000,330.060000,329.660000,329.240000,328.810000,328.380000,327.960000,327.570000,327.190000,326.840000,326.510000,326.200000,325.900000,325.620000,325.340000,325.060000,324.790000,324.530000,324.280000,324.030000,323.800000,323.590000,323.390000,323.210000,323.050000,322.900000,322.770000,322.660000,322.570000,322.500000,322.450000,322.410000,322.400000
1,326.310000,326.360000,326.450000,326.590000,326.770000,327.000000,327.270000,327.590000,327.950000,328.340000,328.760000,329.210000,329.760000,330.220000,330.350000,330.680000,330.960000,331.100000,331.070000,331.010000,331.060000,331.080000,331.110000,331.150000,331.180000,331.180000,331.250000,331.370000,331.350000,331.260000,331.040000,330.720000,330.180000,329.770000,329.330000,328.890000,328.440000,328.010000,327.610000,327.230000,326.880000,326.550000,326.240000,325.950000,325.660000,325.380000,325.110000,324.830000,324.570000,324.310000,324.060000,323.830000,323.610000,323.410000,323.230000,323.060000,322.910000,322.790000,322.680000,322.590000,322.520000,322.460000,322.430000,322.410000
2,326.330000,326.380000,326.470000,326.610000,326.810000,327.050000,327.320000,327.650000,328.010000,328.430000,328.880000,329.450000,330.000000,330.420000,330.640000,330.900000,331.110000,331.260000,331.290000,331.210000,331.190000,331.190000,331.210000,331.260000,331.280000,331.310000,331.430000,331.610000,331.560000,331.390000,331.200000,330.950000,330.550000,330.130000,329.580000,329.030000,328.550000,328.100000,327.690000,327.310000,326.950000,326.630000,326.330000,326.040000,325.750000,325.470000,325.190000,324.920000,324.640000,324.370000,324.120000,323.880000,323.670000,323.450000,323.260000,323.090000,322.940000,322.810000,322.700000,322.610000,322.540000,322.480000,322.450000,322.430000
3,326.360000,326.410000,326.500000,326.650000,326.860000,327.090000,327.370000,327.710000,328.100000,328.540000,329.100000,329.730000,330.260000,330.610000,330.880000,331.140000,331.300000,331.450000,331.530000,331.570000,331.430000,331.380000,331.400000,331.450000,331.470000,331.510000,331.620000,331.790000,331.710000,331.580000,331.410000,331.130000,330.720000,330.350000,329.930000,329.360000,328.710000,328.230000,327.800000,327.410000,327.060000,326.750000,326.470000,326.190000,325.920000,325.610000,325.370000,325.100000,324.760000,324.460000,324.200000,323.950000,323.720000,323.500000,323.310000,323.140000,322.990000,322.850000,322.740000,322.650000,322.580000,322.520000,322.480000,322.470000
4,326.400000,326.450000,326.550000,326.700000,326.910000,327.150000,327.440000,327.790000,328.190000,328.660000,329.300000,329.930000,330.380000,330.740000,331.040000,331.340000,331.490000,331.630000,331.770000,331.810000,331.670000,331.640000,331.690000,331.720000,331.740000,331.780000,331.950000,332.010000,331.940000,331.770000,331.570000,331.320000,330.930000,330.530000,330.140000,329.610000,328.920000,328.380000,327.940000,327.550000,327.200000,326.900000,326.700000,326.430000,326.130000,325.830000,325.570000,325.260000,324.930000,324.570000,324.300000,324.030000,323.800000,323.570000,323.370000,323.200000,323.040000,322.910000,322.790000,322.700000,322.620000,322.570000,322.530000,322.510000
5,326.440000,326.500000,326.600000,326.750000,326.990000,327.220000,327.530000,327.880000,328.300000,328.780000,329.490000,330.050000,330.480000,330.870000,331.180000,331.470000,331.680000,331.850000,332.000000,332.030000,332.090000,332.120000,332.140000,332.230000,332.230000,332.190000,332.250000,332.200000,332.120000,331.970000,331.780000,331.530000,331.140000,330.710000,330.290000,329.830000,329.100000,328.540000,328.100000,327.710000,327.370000,327.080000,326.890000,326.600000,326.300000,325.990000,325.690000,325.410000,325.060000,324.700000,324.410000,324.140000,323.890000,323.650000,323.450000,323.270000,323.110000,322.970000,322.860000,322.760000,322.690000,322.630000,322.590000,322.570000
6,326.490000,326.550000,326.650000,326.810000,327.040000,327.300000,327.610000,327.980000,328.410000,328.900000,329.550000,330.210000,330.660000,331.030000,331.330000,331.590000,331.850000,332.000000,332.120000,332.270000,332.390000,332.410000,332.470000,332.520000,332.580000,332.590000,332.560000,332.480000,332.360000,332.190000,331.950000,331.710000,331.350000,330.950000,330.500000,329.980000,329.230000,328.700000,328.260000,327.890000,327.560000,327.290000,327.050000,326.760000,326.470000,326.180000,325.860000,325.560000,325.190000,324.840000,324.530000,324.240000,323.990000,323.750000,323.540000,323.360000,323.190000,323.050000,322.940000,322.840000,322.760000,322.700000,322.660000,322.640000
7,326.550000,326.600000,326.710000,326.880000,327.100000,327.390000,327.700000,328.070000,328.520000,329.030000,329.720000,330.300000,330.720000,331.130000,331.460000,331.680000,331.940000,332.120000,332.250000,332.410000,332.590000,332.680000,332.750000,332.830000,332.860000,332.840000,332.730000,332.690000,332.540000,332.340000,332.130000,331.850000,331.530000,331.090000,330.620000,329.980000,329.360000,328.880000,328.460000,328.110000,327.790000,327.490000,327.210000,326.930000,326.620000,326.330000,326.040000,325.730000,325.400000,324.980000,324.660000,324.370000,324.110000,323.860000,323.640000,323.450000,323.290000,323.150000,323.030000,322.920000,322.840000,322.780000,322.740000,322.720000
8,326.600000,326.660000,326.770000,326.940000,327.170000,327.440000,327.780000,328.160000,328.620000,329.180000,329.910000,330.420000,330.850000,331.150000,331.430000,331.710000,331.900000,332.090000,332.290000,332.460000,332.750000,332.890000,332.940000,333.040000,333.070000,333.040000,332.960000,332.860000,332.730000,332.530000,332.310000,332.030000,331.610000,331.200000,330.740000,330.170000,329.540000,329.080000,328.660000,328.290000,327.970000,327.660000,327.380000,327.100000,326.810000,326.510000,326.200000,325.880000,325.510000,325.140000,324.780000,324.490000,324.220000,323.980000,323.760000,323.570000,323.400000,323.250000,323.130000,323.020000,322.940000,322.880000,322.840000,322.810000
9,326.660000,326.720000,326.830000,327.020000,327.240000,327.530000,327.870000,328.260000,328.730000,329.310000,330.050000,330.520000,330.970000,331.310000,331.500000,331.730000,331.990000,332.160000,332.400000,332.610000,332.850000,333.010000,333.100000,333.230000,333.240000,333.230000,333.110000,333.000000,332.830000,332.640000,332.460000,332.180000,331.820000,331.270000,330.740000,330.200000,329.680000,329.240000,328.850000,328.510000,328.170000,327.850000,327.550000,327.250000,326.960000,326.640000,326.340000,326.010000,325.670000,325.300000,324.940000,324.630000,324.360000,324.110000,323.900000,323.700000,323.520000,323.370000,323.250000,323.140000,323.050000,322.990000,322.940000,322.920000
