step,time_s,layer0_min_k,layer0_mean_k,layer0_max_k,layer1_min_k,layer1_mean_k,layer1_max_k
0,0,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
1,1.6099e-05,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
2,3.2198e-05,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
3,4.8297e-05,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
4,6.4396e-05,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
5,8.0494e-05,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
6,9.6593e-05,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
7,0.00011269,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
8,0.00012879,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
9,0.00014489,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
10,0.00016099,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
11,0.00017709,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
12,0.00019319,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
13,0.00020929,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
14,0.00022538,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
15,0.00024148,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
16,0.00025758,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
17,0.00027368,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
18,0.00028978,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
19,0.00030588,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
20,0.00032198,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
21,0.00033808,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
22,0.00035418,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
23,0.00037027,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
24,0.00038637,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
25,0.00040247,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
26,0.00041857,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
27,0.00043467,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
28,0.00045077,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
29,0.00046687,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
30,0.00048297,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
31,0.00049907,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
32,0.00051516,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
33,0.00053126,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
34,0.00054736,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
35,0.00056346,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
36,0.00057956,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
37,0.00059566,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
38,0.00061176,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
39,0.00062786,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
40,0.00064396,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
41,0.00066005,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
42,0.00067615,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
43,0.00069225,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
44,0.00070835,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
45,0.00072445,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
46,0.00074055,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
47,0.00075665,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
48,0.00077275,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
49,0.00078885,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
50,0.00080494,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
51,0.00082104,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
52,0.00083714,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
53,0.00085324,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
54,0.00086934,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
55,0.00088544,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
56,0.00090154,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
57,0.00091764,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
58,0.00093374,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
59,0.00094983,318.150000,318.150000,318.150000,318.150000,318.150000,318.150000
60,0.00096593,318.150000,318.156145,318.170000,318.150000,318.151677,318.160000
61,0.00098203,318.150000,318.159585,318.180000,318.150000,318.157607,318.170000
62,0.00099813,318.150000,318.159546,318.180000,318.150000,318.158906,318.170000
63,0.0010142,318.150000,318.159534,318.180000,318.150000,318.159290,318.180000
