grid_x,grid_y,instance_count,cell_area,proxy_power_w,power_rank,steady_temp_k,delta_over_ambient_k
0,0,0,0.0,0.0,4088,326.3,8.150000000000034
1,0,0,0.0,0.0,4074,326.34,8.189999999999998
2,0,0,0.0,0.0,4075,326.44,8.29000000000002
3,0,0,0.0,0.0,4076,326.57,8.420000000000016
4,0,0,0.0,0.0,4077,326.76,8.610000000000014
5,0,0,0.0,0.0,4078,326.98,8.830000000000041
6,0,0,0.0,0.0,4079,327.25,9.100000000000023
7,0,0,0.0,0.0,4080,327.56,9.410000000000025
8,0,0,0.0,0.0,4092,327.91,9.760000000000048
9,0,0,0.0,0.0,4081,328.29,10.140000000000043
10,0,0,0.0,0.0,4082,328.7,10.550000000000011
11,0,0,0.0,0.0,4083,329.12,10.970000000000027
12,0,0,0.0,0.0,4084,329.53,11.379999999999995
13,0,0,0.0,0.0,4085,329.89,11.740000000000009
14,0,0,0.0,0.0,4086,330.19,12.04000000000002
15,0,0,0.0,0.0,4087,330.44,12.29000000000002
16,0,0,0.0,0.0,4089,330.65,12.5
17,0,20,10.16226,5.2554666189195014e-05,3081,330.81,12.660000000000025
18,0,0,0.0,0.0,4090,330.87,12.720000000000027
19,0,0,0.0,0.0,4091,330.91,12.760000000000048
20,0,79,58.8303,4.78224281078491e-05,3098,330.96,12.810000000000002
21,0,129,94.59504000000007,7.575954997733078e-05,2992,331.0,12.850000000000023
22,0,165,94.66794000000014,9.520649258518446e-05,2914,331.03,12.879999999999995
23,0,143,87.1009200000001,8.512989026760477e-05,2955,331.06,12.910000000000025
24,0,176,87.11550000000011,0.0001035649125802761,2885,331.09,12.939999999999998
25,0,53,27.964439999999986,3.2277157647313006e-05,3195,331.09,12.939999999999998
26,0,0,0.0,0.0,3577,331.09,12.939999999999998
27,0,3,1.80792,9.34975409965e-06,3384,331.09,12.939999999999998
28,0,0,0.0,0.0,3578,331.04,12.890000000000043
29,0,35,15.76098,6.536395595092499e-05,3028,330.94,12.79000000000002
30,0,72,27.760320000000007,0.00014356396617529996,2726,330.76,12.610000000000014
31,0,10,5.482080000000001,2.8350867269912e-05,3223,330.43,12.28000000000003
32,0,0,0.0,0.0,3547,330.06,11.910000000000025
33,0,0,0.0,0.0,3548,329.66,11.510000000000048
34,0,0,0.0,0.0,3549,329.24,11.090000000000032
35,0,0,0.0,0.0,3550,328.81,10.660000000000025
36,0,0,0.0,0.0,3591,328.38,10.230000000000018
37,0,0,0.0,0.0,4093,327.96,9.810000000000002
38,0,0,0.0,0.0,4094,327.57,9.420000000000016
39,0,0,0.0,0.0,4095,327.19,9.04000000000002
40,0,0,0.0,0.0,3555,326.84,8.689999999999998
41,0,0,0.0,0.0,3556,326.51,8.360000000000014
42,0,0,0.0,0.0,3557,326.2,8.050000000000011
43,0,0,0.0,0.0,3558,325.9,7.75
44,0,0,0.0,0.0,3543,325.62,7.470000000000027
45,0,0,0.0,0.0,3544,325.34,7.189999999999998
46,0,0,0.0,0.0,3545,325.06,6.910000000000025
47,0,0,0.0,0.0,3546,324.79,6.640000000000043
48,0,0,0.0,0.0,3563,324.53,6.3799999999999955
49,0,0,0.0,0.0,3564,324.28,6.1299999999999955
50,0,0,0.0,0.0,3565,324.03,5.8799999999999955
