pact_temp_rank,grid_x,grid_y,steady_temp_k,delta_over_ambient_k,exact_grid_proxy_power_w,exact_grid_power_rank,exact_grid_instances,exact_grid_cell_area,exact_grid_top_region,exact_grid_top_region_power_w,local_r2_proxy_power_w,local_r2_instances,local_r2_cell_area,top_exact_grid_instances
1,22,16,333.72,15.57,0.0007810293844798194,38,465,353.94408000000027,gemmini_other,0.000732598474453585,0.016570451344801927,10987,9049.120740000011,mod/ld_weights/_099954_:INVx5_ASAP7_75t_R:8.445e-06; mod/ld_weights/_100720_:INVx5_ASAP7_75t_R:8.445e-06; mod/ld_weights/_100788_:INVx5_ASAP7_75t_R:8.445e-06
2,22,18,333.7,15.55,0.0007814175531505766,37,479,346.23126000000053,gemmini_other,0.00073614233286226,0.0173816583936487,11591,9492.89220000001,mod/_38192_:INVx11_ASAP7_75t_R:1.568e-05; mod/_50786_:INVx8_ASAP7_75t_R:1.206e-05; mod/_50248_:INVx5_ASAP7_75t_R:8.445e-06
3,21,17,333.69,15.54,0.0007126449180671885,208,453,339.1599600000001,gemmini_other,0.000664586553502744,0.01793721953744495,11602,9443.495160000015,mod/ld_weights/_094508_:INVx11_ASAP7_75t_R:1.568e-05; mod/ld_weights/_097275_:INVx11_ASAP7_75t_R:1.568e-05; mod/ld_weights/_097232_:INVx8_ASAP7_75t_R:1.206e-05
4,23,16,333.69,15.54,0.0007465708932507205,109,437,354.8626200000007,gemmini_other,0.000696330476696078,0.014805935785841315,9781,8967.472740000008,mod/ld_weights/_098849_:INVx13_ASAP7_75t_R:1.810e-05; mod/ld_weights/_099173_:INVx11_ASAP7_75t_R:1.568e-05; mod/ld_weights/_099702_:INVx8_ASAP7_75t_R:1.206e-05
5,21,18,333.69,15.54,0.0007654483384265304,67,521,489.18816000000066,gemmini_other,0.000685246494013282,0.017867684476834622,11740,9728.534160000016,mod/ld_weights/_097002_:INVx5_ASAP7_75t_R:8.445e-06; mod/ld_weights/_096853_:INVx4_ASAP7_75t_R:7.239e-06; mod/ld_weights/_096883_:INVx4_ASAP7_75t_R:7.239e-06
6,22,17,333.68,15.53,0.0006420161071770931,401,399,332.7301800000004,gemmini_other,0.000590844138103893,0.01747527450592594,11314,9207.86778000001,mod/ld_weights/_088869_:INVx11_ASAP7_75t_R:1.568e-05; mod/ld_weights/_100795_:INVx8_ASAP7_75t_R:1.206e-05; mod/_50805_:INVx4_ASAP7_75t_R:7.239e-06
7,23,18,333.67,15.52,0.0007806904906284294,39,508,464.9270400000009,gemmini_other,0.000705755632038399,0.015923125082141373,10949,9233.25156000001,mod/_50294_:INVx8_ASAP7_75t_R:1.206e-05; mod/_50402_:INVx5_ASAP7_75t_R:8.445e-06; mod/_50669_:INVx5_ASAP7_75t_R:8.445e-06
8,23,17,333.66,15.51,0.0006535948129418745,379,379,311.7058200000004,gemmini_other,0.000607281609021036,0.015673505710353,10304,8972.38620000001,mod/_38122_:INVx11_ASAP7_75t_R:1.568e-05; mod/_51660_:INVx8_ASAP7_75t_R:1.206e-05; mod/_50688_:INVx6_ASAP7_75t_R:9.651e-06
9,22,15,333.66,15.51,0.0006939607579301523,249,380,398.7775800000002,gemmini_other,0.0006262073209486479,0.01582853610281231,10530,9291.425760000011,mod/ld_weights/_098810_:INVx11_ASAP7_75t_R:1.568e-05; mod/st/_91045_:INVx11_ASAP7_75t_R:1.568e-05; mod/arb/_1285_:INVx8_ASAP7_75t_R:1.206e-05
10,21,16,333.66,15.51,0.0006380849916865814,410,539,411.0393600000009,gemmini_other,0.000569430185165933,0.017278135110624777,11502,9361.701360000012,mod/ld_weights/_094826_:INVx11_ASAP7_75t_R:1.568e-05; mod/ld_weights/_095002_:INVx5_ASAP7_75t_R:8.445e-06; mod/ld_weights/_094589_:INVx4_ASAP7_75t_R:7.239e-06
11,20,17,333.64,15.49,0.0007136777385166363,204,498,377.4907800000003,gemmini_other,0.000656518620529687,0.018130297047967238,11851,9389.257560000013,mod/ld_weights/_096635_:INVx5_ASAP7_75t_R:8.445e-06; mod/ld_weights/_095590_:INVx4_ASAP7_75t_R:7.239e-06; mod/ld_weights/_096161_:INVx4_ASAP7_75t_R:7.239e-06
12,20,18,333.64,15.49,0.000752623940159384,91,507,431.6263200000008,gemmini_other,0.00068434167910051,0.018272658276248722,12007,9759.793680000015,mod/ld_weights/_090426_:INVx8_ASAP7_75t_R:1.206e-05; mod/ld_weights/_089700_:INVx5_ASAP7_75t_R:8.445e-06; mod/ld_weights/_089884_:INVx5_ASAP7_75t_R:8.445e-06
13,23,15,333.63,15.48,0.0006761449580959246,310,392,272.6605799999997,gemmini_other,0.00064083516204005,0.014320280032024896,9490,9047.61900000001,mod/ld_weights/_098909_:INVx8_ASAP7_75t_R:1.206e-05; mod/ld_weights/_099012_:INVx8_ASAP7_75t_R:1.206e-05; mod/ld_weights/_098834_:INVx5_ASAP7_75t_R:8.445e-06
14,21,19,333.62,15.47,0.0007138655734357895,203,492,455.960340000001,gemmini_other,0.00064370040926409,0.017839672232407528,11863,10084.548600000011,mod/ld_weights/_097719_:INVx5_ASAP7_75t_R:8.445e-06; mod/ld_weights/_097808_:INVx5_ASAP7_75t_R:8.445e-06; mod/_38211_:INVx4_ASAP7_75t_R:7.239e-06
15,21,15,333.62,15.47,0.0006469751429879538,393,492,309.7375200000005,gemmini_other,0.000602908336942158,0.016609592049934962,11115,9700.525980000013,mod/ld_weights/_094473_:INVx8_ASAP7_75t_R:1.206e-05; mod/ld_weights/_093791_:INVx5_ASAP7_75t_R:8.445e-06; mod/ld_weights/_094453_:INVx5_ASAP7_75t_R:8.445e-06
