master,instances,cell_area,proxy_power_w
INVx3_ASAP7_75t_R,60393,70442.39519999998,0.2128965786406815
INVx4_ASAP7_75t_R,41642,58285.474559999995,0.16420361300872413
BUFx24_ASAP7_75t_R,47312,331108.30080000014,0.06216430958823718
XNOR2xp5_ASAP7_75t_R,93833,12312.766259999995,0.043344936341061756
INVxp33_ASAP7_75t_R,20761,14529.378240000002,0.038694517544186326
INVx5_ASAP7_75t_R,8613,14064.684480000004,0.033233193214705005
DFFHQNx2_ASAP7_75t_R,46449,14221.754819999996,0.03280308882010863
INVx2_ASAP7_75t_R,10187,9505.693440000001,0.023487227664807347
BUFx12f_ASAP7_75t_R,20648,86701.77791999998,0.0197802480702785
INVxp67_ASAP7_75t_R,11935,8352.590400000001,0.01953468891106527
INVx8_ASAP7_75t_R,3124,7287.667199999999,0.018571384392828433
MAJIxp5_ASAP7_75t_R,47325,4829.9895000000015,0.0181347191495297
INVx11_ASAP7_75t_R,2344,7108.508160000001,0.017565472945340305
XNOR2x2_ASAP7_75t_R,28852,4627.283759999999,0.016218320393101074
BUFx10_ASAP7_75t_R,21836,71314.62912000003,0.015420280816787788
DFFHQNx1_ASAP7_75t_R,24263,7075.090799999999,0.014348412541760799
INVx1_ASAP7_75t_R,6021,4213.73664,0.011613909272790646
BUFx6f_ASAP7_75t_R,21700,50621.759999999995,0.011548909313924499
