instance,master,region,grid_x,grid_y,cell_area,proxy_power_w
mod/_31076_,INVx13_ASAP7_75t_R,gemmini_other,27,12,3.4992,1.80962982574e-05
mod/_33513_,INVx13_ASAP7_75t_R,gemmini_other,25,14,3.4992,1.80962982574e-05
mod/_35247_,INVx13_ASAP7_75t_R,gemmini_other,26,12,3.4992,1.80962982574e-05
mod/_37871_,INVx13_ASAP7_75t_R,gemmini_other,29,16,3.4992,1.80962982574e-05
mod/_38370_,INVx13_ASAP7_75t_R,gemmini_other,26,13,3.4992,1.80962982574e-05
mod/_38465_,INVx13_ASAP7_75t_R,gemmini_other,26,12,3.4992,1.80962982574e-05
mod/_38566_,INVx13_ASAP7_75t_R,gemmini_other,29,11,3.4992,1.80962982574e-05
mod/_38817_,INVx13_ASAP7_75t_R,gemmini_other,29,12,3.4992,1.80962982574e-05
mod/_38947_,INVx13_ASAP7_75t_R,gemmini_other,27,8,3.4992,1.80962982574e-05
mod/_39100_,INVx13_ASAP7_75t_R,gemmini_other,24,18,3.4992,1.80962982574e-05
mod/_52355_,INVx13_ASAP7_75t_R,gemmini_other,31,8,3.4992,1.80962982574e-05
mod/_52434_,INVx13_ASAP7_75t_R,gemmini_other,30,8,3.4992,1.80962982574e-05
mod/_54308_,INVx13_ASAP7_75t_R,gemmini_other,28,8,3.4992,1.80962982574e-05
mod/arb/_1131_,INVx13_ASAP7_75t_R,gemmini_other,21,13,3.4992,1.80962982574e-05
mod/arb/_1468_,INVx13_ASAP7_75t_R,gemmini_other,18,10,3.4992,1.80962982574e-05
mod/arb/_1539_,INVx13_ASAP7_75t_R,gemmini_other,18,10,3.4992,1.80962982574e-05
mod/arb/_1653_,INVx13_ASAP7_75t_R,gemmini_other,18,10,3.4992,1.80962982574e-05
mod/arb/_1670_,INVx13_ASAP7_75t_R,gemmini_other,19,9,3.4992,1.80962982574e-05
mod/arb/_1777_,INVx13_ASAP7_75t_R,gemmini_other,20,10,3.4992,1.80962982574e-05
mod/arb/_1900_,INVx13_ASAP7_75t_R,gemmini_other,16,9,3.4992,1.80962982574e-05
mod/arb/_2111_,INVx13_ASAP7_75t_R,gemmini_other,23,10,3.4992,1.80962982574e-05
mod/arb/_2197_,INVx13_ASAP7_75t_R,gemmini_other,18,12,3.4992,1.80962982574e-05
mod/arb/_2226_,INVx13_ASAP7_75t_R,gemmini_other,20,10,3.4992,1.80962982574e-05
mod/arb/_2230_,INVx13_ASAP7_75t_R,gemmini_other,20,8,3.4992,1.80962982574e-05
mod/arb/_2339_,INVx13_ASAP7_75t_R,gemmini_other,18,9,3.4992,1.80962982574e-05
mod/ex/_100684_,INVx13_ASAP7_75t_R,gemmini_other,27,15,3.4992,1.80962982574e-05
mod/ex/_100807_,INVx13_ASAP7_75t_R,gemmini_other,28,14,3.4992,1.80962982574e-05
mod/ex/_108538_,INVx13_ASAP7_75t_R,gemmini_other,32,16,3.4992,1.80962982574e-05
mod/ex/_109342_,INVx13_ASAP7_75t_R,gemmini_other,31,12,3.4992,1.80962982574e-05
mod/ex/_112309_,INVx13_ASAP7_75t_R,gemmini_other,32,16,3.4992,1.80962982574e-05
mod/ex/_151385_,INVx13_ASAP7_75t_R,gemmini_other,29,22,3.4992,1.80962982574e-05
mod/ex/_161490_,INVx13_ASAP7_75t_R,gemmini_other,26,24,3.4992,1.80962982574e-05
mod/ex/_173480_,INVx13_ASAP7_75t_R,gemmini_other,31,16,3.4992,1.80962982574e-05
mod/ex/_173679_,INVx13_ASAP7_75t_R,gemmini_other,32,16,3.4992,1.80962982574e-05
mod/ex/_176674_,INVx13_ASAP7_75t_R,gemmini_other,35,18,3.4992,1.80962982574e-05
mod/ex/_187566_,INVx13_ASAP7_75t_R,gemmini_other,31,20,3.4992,1.80962982574e-05
mod/ex/_194079_,INVx13_ASAP7_75t_R,gemmini_other,30,16,3.4992,1.80962982574e-05
mod/ex/_194474_,INVx13_ASAP7_75t_R,gemmini_other,29,14,3.4992,1.80962982574e-05
mod/ex/_194650_,INVx13_ASAP7_75t_R,gemmini_other,24,13,3.4992,1.80962982574e-05
mod/ex/_194835_,INVx13_ASAP7_75t_R,gemmini_other,29,12,3.4992,1.80962982574e-05
mod/ex/_196177_,INVx13_ASAP7_75t_R,gemmini_other,31,15,3.4992,1.80962982574e-05
mod/ex/_197086_,INVx13_ASAP7_75t_R,gemmini_other,25,18,3.4992,1.80962982574e-05
mod/ld_bias/_20576_,INVx13_ASAP7_75t_R,gemmini_other,23,8,3.4992,1.80962982574e-05
mod/ld_bias/_20789_,INVx13_ASAP7_75t_R,gemmini_other,25,6,3.4992,1.80962982574e-05
mod/ld_bias/_20899_,INVx13_ASAP7_75t_R,gemmini_other,20,10,3.4992,1.80962982574e-05
mod/ld_bias/_24529_,INVx13_ASAP7_75t_R,gemmini_other,25,7,3.4992,1.80962982574e-05
mod/ld_bias/_27397_,INVx13_ASAP7_75t_R,gemmini_other,24,5,3.4992,1.80962982574e-05
mod/ld_bias/_36071_,INVx13_ASAP7_75t_R,gemmini_other,21,13,3.4992,1.80962982574e-05
mod/ld_input/_45840_,INVx13_ASAP7_75t_R,gemmini_other,33,6,3.4992,1.80962982574e-05
mod/ld_input/_47983_,INVx13_ASAP7_75t_R,gemmini_other,31,7,3.4992,1.80962982574e-05
mod/ld_input/_61058_,INVx13_ASAP7_75t_R,gemmini_other,30,3,3.4992,1.80962982574e-05
mod/ld_input/_67302_,INVx13_ASAP7_75t_R,gemmini_other,28,2,3.4992,1.80962982574e-05
mod/ld_input/_73308_,INVx13_ASAP7_75t_R,gemmini_other,25,5,3.4992,1.80962982574e-05
mod/ld_input/_77795_,INVx13_ASAP7_75t_R,gemmini_other,23,5,3.4992,1.80962982574e-05
mod/ld_input/command_p/_2062_,INVx13_ASAP7_75t_R,gemmini_other,21,6,3.4992,1.80962982574e-05
mod/ld_weights/_086862_,INVx13_ASAP7_75t_R,gemmini_other,14,15,3.4992,1.80962982574e-05
mod/ld_weights/_098849_,INVx13_ASAP7_75t_R,gemmini_other,23,16,3.4992,1.80962982574e-05
mod/ld_weights/_103343_,INVx13_ASAP7_75t_R,gemmini_other,15,21,3.4992,1.80962982574e-05
mod/ld_weights/_137713_,INVx13_ASAP7_75t_R,gemmini_other,22,24,3.4992,1.80962982574e-05
mod/ld_weights/_158647_,INVx13_ASAP7_75t_R,gemmini_other,15,14,3.4992,1.80962982574e-05
mod/st/_54011_,INVx13_ASAP7_75t_R,gemmini_other,10,9,3.4992,1.80962982574e-05
mod/st/_62955_,INVx13_ASAP7_75t_R,gemmini_other,12,7,3.4992,1.80962982574e-05
mod/st/_66143_,INVx13_ASAP7_75t_R,gemmini_other,17,1,3.4992,1.80962982574e-05
mod/st/_73033_,INVx13_ASAP7_75t_R,gemmini_other,16,7,3.4992,1.80962982574e-05
mod/st/_80844_,INVx13_ASAP7_75t_R,gemmini_other,12,7,3.4992,1.80962982574e-05
mod/st/_87830_,INVx13_ASAP7_75t_R,gemmini_other,14,8,3.4992,1.80962982574e-05
mod_1/_06300_,INVx13_ASAP7_75t_R,gemmini_other,10,21,3.4992,1.80962982574e-05
mod_1/_06574_,INVx13_ASAP7_75t_R,gemmini_other,11,25,3.4992,1.80962982574e-05
mod_1/arb/_1191_,INVx13_ASAP7_75t_R,gemmini_other,8,23,3.4992,1.80962982574e-05
mod_1/arb/_1729_,INVx13_ASAP7_75t_R,gemmini_other,8,24,3.4992,1.80962982574e-05
mod_1/arb/_2078_,INVx13_ASAP7_75t_R,gemmini_other,7,22,3.4992,1.80962982574e-05
mod_1/arb/_2085_,INVx13_ASAP7_75t_R,gemmini_other,7,21,3.4992,1.80962982574e-05
mod_1/arb/_2100_,INVx13_ASAP7_75t_R,gemmini_other,8,24,3.4992,1.80962982574e-05
mod_1/arb/_2230_,INVx13_ASAP7_75t_R,gemmini_other,9,24,3.4992,1.80962982574e-05
mod_1/ex/_08352_,INVx13_ASAP7_75t_R,gemmini_other,10,26,3.4992,1.80962982574e-05
mod_1/ex/_12325_,INVx13_ASAP7_75t_R,gemmini_other,12,26,3.4992,1.80962982574e-05
mod_1/ldA/_05580_,INVx13_ASAP7_75t_R,gemmini_other,11,18,3.4992,1.80962982574e-05
mod_1/ldA/_05838_,INVx13_ASAP7_75t_R,gemmini_other,11,19,3.4992,1.80962982574e-05
mod_1/ldA/_05921_,INVx13_ASAP7_75t_R,gemmini_other,11,18,3.4992,1.80962982574e-05
mod_1/ldA/_06116_,INVx13_ASAP7_75t_R,gemmini_other,11,18,3.4992,1.80962982574e-05
mod_1/ldB/_06692_,INVx13_ASAP7_75t_R,gemmini_other,13,20,3.4992,1.80962982574e-05
mod_1/ldB/_09027_,INVx13_ASAP7_75t_R,gemmini_other,14,23,3.4992,1.80962982574e-05
mod_1/ldB/_10725_,INVx13_ASAP7_75t_R,gemmini_other,12,23,3.4992,1.80962982574e-05
mod_1/ldD/_05148_,INVx13_ASAP7_75t_R,gemmini_other,8,18,3.4992,1.80962982574e-05
mod_1/ldab_arb/_667_,INVx13_ASAP7_75t_R,gemmini_other,13,19,3.4992,1.80962982574e-05
mod_1/stC/_09582_,INVx13_ASAP7_75t_R,gemmini_other,6,26,3.4992,1.80962982574e-05
mod_1/stC/_09659_,INVx13_ASAP7_75t_R,gemmini_other,5,27,3.4992,1.80962982574e-05
mod_1/stC/_09706_,INVx13_ASAP7_75t_R,gemmini_other,5,27,3.4992,1.80962982574e-05
mod_1/stC/_16940_,INVx13_ASAP7_75t_R,gemmini_other,7,23,3.4992,1.80962982574e-05
mod_1/stC/_18476_,INVx13_ASAP7_75t_R,gemmini_other,8,25,3.4992,1.80962982574e-05
mod/_30897_,INVx11_ASAP7_75t_R,gemmini_other,28,12,3.03264,1.56834584897e-05
mod/_36909_,INVx11_ASAP7_75t_R,gemmini_other,26,12,3.03264,1.56834584897e-05
mod/_37913_,INVx11_ASAP7_75t_R,gemmini_other,30,12,3.03264,1.56834584897e-05
mod/_38122_,INVx11_ASAP7_75t_R,gemmini_other,23,17,3.03264,1.56834584897e-05
mod/_38192_,INVx11_ASAP7_75t_R,gemmini_other,22,18,3.03264,1.56834584897e-05
mod/_38592_,INVx11_ASAP7_75t_R,gemmini_other,28,12,3.03264,1.56834584897e-05
mod/_38832_,INVx11_ASAP7_75t_R,gemmini_other,29,12,3.03264,1.56834584897e-05
mod/_38846_,INVx11_ASAP7_75t_R,gemmini_other,29,13,3.03264,1.56834584897e-05
mod/_38890_,INVx11_ASAP7_75t_R,gemmini_other,30,13,3.03264,1.56834584897e-05
mod/_39017_,INVx11_ASAP7_75t_R,gemmini_other,27,8,3.03264,1.56834584897e-05
mod/_39495_,INVx11_ASAP7_75t_R,gemmini_other,26,12,3.03264,1.56834584897e-05
mod/_42465_,INVx11_ASAP7_75t_R,gemmini_other,28,8,3.03264,1.56834584897e-05
mod/_42579_,INVx11_ASAP7_75t_R,gemmini_other,12,15,3.03264,1.56834584897e-05
mod/_42592_,INVx11_ASAP7_75t_R,gemmini_other,12,15,3.03264,1.56834584897e-05
mod/_42681_,INVx11_ASAP7_75t_R,gemmini_other,17,11,3.03264,1.56834584897e-05
mod/_42707_,INVx11_ASAP7_75t_R,gemmini_other,18,12,3.03264,1.56834584897e-05
mod/_42747_,INVx11_ASAP7_75t_R,gemmini_other,15,12,3.03264,1.56834584897e-05
mod/_42863_,INVx11_ASAP7_75t_R,gemmini_other,22,13,3.03264,1.56834584897e-05
mod/_45150_,INVx11_ASAP7_75t_R,gemmini_other,31,12,3.03264,1.56834584897e-05
mod/_50215_,INVx11_ASAP7_75t_R,gemmini_other,24,18,3.03264,1.56834584897e-05
mod/arb/_1175_,INVx11_ASAP7_75t_R,gemmini_other,18,12,3.03264,1.56834584897e-05
mod/arb/_1185_,INVx11_ASAP7_75t_R,gemmini_other,18,12,3.03264,1.56834584897e-05
mod/arb/_1191_,INVx11_ASAP7_75t_R,gemmini_other,18,12,3.03264,1.56834584897e-05
mod/arb/_1459_,INVx11_ASAP7_75t_R,gemmini_other,20,13,3.03264,1.56834584897e-05
mod/arb/_1487_,INVx11_ASAP7_75t_R,gemmini_other,19,12,3.03264,1.56834584897e-05
mod/arb/_1527_,INVx11_ASAP7_75t_R,gemmini_other,22,11,3.03264,1.56834584897e-05
mod/arb/_1592_,INVx11_ASAP7_75t_R,gemmini_other,13,15,3.03264,1.56834584897e-05
mod/arb/_1664_,INVx11_ASAP7_75t_R,gemmini_other,21,12,3.03264,1.56834584897e-05
mod/arb/_1750_,INVx11_ASAP7_75t_R,gemmini_other,19,9,3.03264,1.56834584897e-05
mod/arb/_1813_,INVx11_ASAP7_75t_R,gemmini_other,16,10,3.03264,1.56834584897e-05
mod/arb/_1853_,INVx11_ASAP7_75t_R,gemmini_other,16,10,3.03264,1.56834584897e-05
mod/arb/_1862_,INVx11_ASAP7_75t_R,gemmini_other,15,10,3.03264,1.56834584897e-05
mod/arb/_1944_,INVx11_ASAP7_75t_R,gemmini_other,15,10,3.03264,1.56834584897e-05
mod/arb/_2001_,INVx11_ASAP7_75t_R,gemmini_other,18,10,3.03264,1.56834584897e-05
mod/arb/_2088_,INVx11_ASAP7_75t_R,gemmini_other,21,13,3.03264,1.56834584897e-05
mod/arb/_2117_,INVx11_ASAP7_75t_R,gemmini_other,21,13,3.03264,1.56834584897e-05
mod/arb/_2160_,INVx11_ASAP7_75t_R,gemmini_other,23,12,3.03264,1.56834584897e-05
mod/arb/_2201_,INVx11_ASAP7_75t_R,gemmini_other,22,12,3.03264,1.56834584897e-05
mod/arb/_2212_,INVx11_ASAP7_75t_R,gemmini_other,19,10,3.03264,1.56834584897e-05
mod/arb/_2240_,INVx11_ASAP7_75t_R,gemmini_other,21,11,3.03264,1.56834584897e-05
mod/arb/_2292_,INVx11_ASAP7_75t_R,gemmini_other,20,10,3.03264,1.56834584897e-05
mod/arb/_2303_,INVx11_ASAP7_75t_R,gemmini_other,20,10,3.03264,1.56834584897e-05
mod/arb/_2330_,INVx11_ASAP7_75t_R,gemmini_other,19,10,3.03264,1.56834584897e-05
mod/arb/_2367_,INVx11_ASAP7_75t_R,gemmini_other,18,12,3.03264,1.56834584897e-05
mod/ex/_098828_,INVx11_ASAP7_75t_R,gemmini_other,28,17,3.03264,1.56834584897e-05
