workload,signal_path,region,width,toggle_count,value_change_count,candidate_start_ps,candidate_end_ps,refined_start_ps,refined_end_ps,time_steps,last_time_ps,normalized_activity
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.reservation_station.cntr_value[20:0],gemmini_other,21,1030328,515162,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,0.023809500700862588
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.vsm_in_q_1.ram_ext.W0_data[624:0],scratchpad,625,27283,517,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,2.1183913099602165e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_2.nodeOut_a_q.ram_ext.W0_data[191:0],scratchpad,192,20881,532,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,5.277693257849354e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_2.nodeOut_a_q.ram_ext.R0_data[191:0],scratchpad,192,13618,492,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,3.4419628746416595e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.reader.io_resp_bits_data[511:0],scratchpad,512,13556,517,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,1.2848596176561079e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_1.nodeOut_a_q.ram_ext.R0_data[190:0],scratchpad,191,12823,307,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,3.2579945655441256e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.tlb_arb.io_in_2_bits_tl_a_data[127:0],scratchpad,128,11872,307,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,4.50098948976492e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.tlb_arb.io_out_bits_tl_a_data[127:0],scratchpad,128,11872,307,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,4.50098948976492e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_2.auto_in_a_bits_data[127:0],scratchpad,128,11872,307,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,4.50098948976492e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_srams_write_0_data[127:0],scratchpad,128,11856,304,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,4.494923466193808e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.auto_spad_id_out_a_bits_data[127:0],scratchpad,128,11562,308,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,4.3834602830746293e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_1.auto_out_a_bits_data[127:0],scratchpad,128,11518,307,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,4.366778718254072e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.tlb_q.ram[335:0],scratchpad,336,10651,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,1.538314691807411e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_1.nodeOut_a_q.ram_ext.W0_data[190:0],scratchpad,191,10651,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,2.706145217001519e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.translate_q.ram[335:0],scratchpad,336,10651,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,1.538314691807411e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.acc_mems_0.mem.mem.W0_data[511:0],scratchpad,512,10248,271,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,9.713220243242692e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.norm_unit_passthru_q.ram_ext.R0_data[549:0],scratchpad,550,9752,259,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,8.604488998615535e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.io_req_bits_data[511:0],scratchpad,512,9681,256,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,9.175808467489511e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.norm_unit_passthru_q.ram_ext.W0_data[549:0],scratchpad,550,9669,256,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,8.531255550411568e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.acc_mems_0.mem.mem.R0_data[511:0],scratchpad,512,9659,256,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,9.154956511463814e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.fullAccWriteData[511:0],scratchpad,512,9624,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,9.121782945059296e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writeData_bits[511:0],scratchpad,512,9624,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,9.121782945059296e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.data_blocks_0[127:0],scratchpad,128,9624,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,3.6487131780237186e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.data_single_block[511:0],scratchpad,512,9624,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,9.121782945059296e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.data[511:0],scratchpad,512,9624,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,9.121782945059296e-06
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.shadow_retry_a.io_enq_bits_tl_a_data[127:0],scratchpad,128,9624,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,3.6487131780237186e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_1.auto_in_a_bits_data[127:0],scratchpad,128,9624,255,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,3.6487131780237186e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.dataA_unpadded[127:0],gemmini_other,128,8848,1071,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,3.3545110348247987e-05
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.raw_cmd_q.ram_ext.W0_data[273:0],gemmini_other,274,8653,285,9272956950,10303285500,10222791082,10238889965,2060658,10303285500,1.5325343638198537e-05
