workload,signal_path,region,width,toggle_count,value_change_count,candidate_start_ps,candidate_end_ps,refined_start_ps,refined_end_ps,time_steps,last_time_ps,normalized_activity
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.writer.io_req_bits_data[511:0],scratchpad,512,1801,7,0,1030328550,0,128791068,4014,1965000,0.0008763273854010961
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.fullAccWriteData[511:0],scratchpad,512,1544,6,0,1030328550,0,128791068,4014,1965000,0.0007512767812655705
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_srams_write_0_data[127:0],scratchpad,128,1269,32,0,1030328550,0,128791068,4014,1965000,0.002469871076233184
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_1.monitor.watchdog[31:0],scratchpad,32,1195,591,0,1030328550,0,128791068,4014,1965000,0.009303375685102143
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.xbar.monitor_1.watchdog_1[31:0],scratchpad,32,1193,591,0,1030328550,0,128791068,4014,1965000,0.009287805181863477
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.xbar.monitor.watchdog_1[31:0],scratchpad,32,1192,591,0,1030328550,0,128791068,4014,1965000,0.009280019930244146
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_2.monitor.watchdog[31:0],scratchpad,32,1191,591,0,1030328550,0,128791068,4014,1965000,0.009272234678624813
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.xbar.monitor.watchdog[31:0],scratchpad,32,1191,591,0,1030328550,0,128791068,4014,1965000,0.009272234678624813
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer.monitor.watchdog[31:0],scratchpad,32,1190,591,0,1030328550,0,128791068,4014,1965000,0.00926444942700548
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.xbar.monitor_1.watchdog[31:0],scratchpad,32,1190,591,0,1030328550,0,128791068,4014,1965000,0.00926444942700548
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_2.monitor.watchdog_1[31:0],scratchpad,32,1189,591,0,1030328550,0,128791068,4014,1965000,0.009256664175386148
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.reservation_station.cntr_value[20:0],gemmini_other,21,1187,591,0,1030328550,0,128791068,4014,1965000,0.014081666548034262
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer_1.monitor.watchdog_1[31:0],scratchpad,32,1187,591,0,1030328550,0,128791068,4014,1965000,0.009241093672147484
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.buffer.monitor.watchdog_1[31:0],scratchpad,32,1186,591,0,1030328550,0,128791068,4014,1965000,0.009233308420528151
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.acc_mems_0.mem.mem.W0_data[511:0],scratchpad,512,521,2,0,1030328550,0,128791068,4014,1965000,0.0002535072558545092
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_1_0[31:0],scratchpad,32,511,31,0,1030328550,0,128791068,4014,1965000,0.003978263577478824
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_0_0[31:0],scratchpad,32,480,29,0,1030328550,0,128791068,4014,1965000,0.0037369207772795215
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_7_0[31:0],scratchpad,32,480,28,0,1030328550,0,128791068,4014,1965000,0.0037369207772795215
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_13_0[31:0],scratchpad,32,417,26,0,1030328550,0,128791068,4014,1965000,0.0032464499252615846
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_5_0[31:0],scratchpad,32,401,27,0,1030328550,0,128791068,4014,1965000,0.003121885899352267
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_4_0[31:0],scratchpad,32,391,28,0,1030328550,0,128791068,4014,1965000,0.0030440333831589436
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_2_0[31:0],scratchpad,32,372,23,0,1030328550,0,128791068,4014,1965000,0.0028961136023916293
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.dataA_unpadded[127:0],gemmini_other,128,365,7,0,1030328550,0,128791068,4014,1965000,0.0007104042102640758
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.io_resp_bits_data_1_0[19:0],pe_array,20,331,31,0,1030328550,0,128791068,4014,1965000,0.004123069257598405
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_10_0[31:0],scratchpad,32,324,18,0,1030328550,0,128791068,4014,1965000,0.002522421524663677
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_656_0[19:0],pe_array,20,320,30,0,1030328550,0,128791068,4014,1965000,0.003986048829098156
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_12_10.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,315,15,0,1030328550,0,128791068,4014,1965000,0.0024523542600896862
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_14_15.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,315,18,0,1030328550,0,128791068,4014,1965000,0.0024523542600896862
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.norm_unit_passthru_q.ram_ext.W0_data[549:0],scratchpad,550,314,2,0,1030328550,0,128791068,4014,1965000,0.00014222946958372969
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_655_0[19:0],pe_array,20,308,29,0,1030328550,0,128791068,4014,1965000,0.0038365719980069757
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.vsm_in_q_1.ram_ext.R0_data[624:0],scratchpad,625,307,1,0,1030328550,0,128791068,4014,1965000,0.00012237169905331342
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_13_15.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,302,17,0,1030328550,0,128791068,4014,1965000,0.0023511459890383658
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_654_0[19:0],pe_array,20,298,28,0,1030328550,0,128791068,4014,1965000,0.0037120079720976583
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_3_0[31:0],scratchpad,32,297,19,0,1030328550,0,128791068,4014,1965000,0.002312219730941704
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_14_13.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,297,16,0,1030328550,0,128791068,4014,1965000,0.002312219730941704
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_14_14.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,296,18,0,1030328550,0,128791068,4014,1965000,0.002304434479322372
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_9_0[31:0],scratchpad,32,291,23,0,1030328550,0,128791068,4014,1965000,0.00226550822122571
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_653_0[19:0],pe_array,20,287,27,0,1030328550,0,128791068,4014,1965000,0.0035749875435974092
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_14_15.tile_0_0.mac_unit.io_out_d[19:0],pe_array,20,284,30,0,1030328550,0,128791068,4014,1965000,0.003537618335824614
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_14_9.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,279,19,0,1030328550,0,128791068,4014,1965000,0.002172085201793722
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_6_0[31:0],scratchpad,32,277,19,0,1030328550,0,128791068,4014,1965000,0.002156514698555057
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_13_10.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,277,16,0,1030328550,0,128791068,4014,1965000,0.002156514698555057
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.io_resp_bits_data_0_0[19:0],pe_array,20,276,29,0,1030328550,0,128791068,4014,1965000,0.0034379671150971598
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.io_resp_bits_data_7_0[19:0],pe_array,20,276,28,0,1030328550,0,128791068,4014,1965000,0.0034379671150971598
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_10_13.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,275,14,0,1030328550,0,128791068,4014,1965000,0.0021409441953163925
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_652_0[19:0],pe_array,20,274,26,0,1030328550,0,128791068,4014,1965000,0.0034130543099152966
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.norm_unit_passthru_q.ram_ext.R0_data[549:0],scratchpad,550,273,1,0,1030328550,0,128791068,4014,1965000,0.000123658105720886
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_13_9.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,272,18,0,1030328550,0,128791068,4014,1965000,0.0021175884404583956
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_15_9.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,272,18,0,1030328550,0,128791068,4014,1965000,0.0021175884404583956
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.io_resp_bits_data_4_0[19:0],pe_array,20,271,28,0,1030328550,0,128791068,4014,1965000,0.0033756851021425013
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.io_acc_write_0_bits_data_12_0[31:0],scratchpad,32,270,21,0,1030328550,0,128791068,4014,1965000,0.002102017937219731
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_15_10.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,269,17,0,1030328550,0,128791068,4014,1965000,0.0020942326856003986
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_15_15.tile_0_0.mac_unit.io_out_d[19:0],pe_array,20,268,31,0,1030328550,0,128791068,4014,1965000,0.003338315894369706
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_643_0[19:0],pe_array,20,265,28,0,1030328550,0,128791068,4014,1965000,0.0033009466865969108
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_689_0[19:0],pe_array,20,263,27,0,1030328550,0,128791068,4014,1965000,0.0032760338814150475
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_713_0[19:0],pe_array,20,263,27,0,1030328550,0,128791068,4014,1965000,0.0032760338814150475
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_14_14.tile_0_0.mac_unit.io_out_d[19:0],pe_array,20,263,28,0,1030328550,0,128791068,4014,1965000,0.0032760338814150475
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_15_15.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,263,19,0,1030328550,0,128791068,4014,1965000,0.0020475211758844048
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_651_0[19:0],pe_array,20,262,25,0,1030328550,0,128791068,4014,1965000,0.0032635774788241155
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.io_resp_bits_data_13_0[19:0],pe_array,20,261,26,0,1030328550,0,128791068,4014,1965000,0.003251121076233184
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.io_resp_bits_data_5_0[19:0],pe_array,20,257,27,0,1030328550,0,128791068,4014,1965000,0.003201295465869457
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_688_0[19:0],pe_array,20,257,26,0,1030328550,0,128791068,4014,1965000,0.003201295465869457
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.mesh.mesh_9_13.tile_0_0.mac_unit.io_in_c[31:0],pe_array,32,256,14,0,1030328550,0,128791068,4014,1965000,0.001993024414549078
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_650_0[19:0],pe_array,20,253,24,0,1030328550,0,128791068,4014,1965000,0.00315146985550573
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.spad.acc_mems_1.mem.mem.W0_data[511:0],scratchpad,512,253,1,0,1030328550,0,128791068,4014,1965000,0.00012310429123069258
stage1_tiled_matmul_os_baseline_20260423,TestDriver.testHarness.chiptop0.system.tile_prci_domain.element_reset_domain_rockettile.gemmini.ex_controller.mesh.RegShifted_r_642_0[19:0],pe_array,20,252,27,0,1030328550,0,128791068,4014,1965000,0.003139013452914798
