workload,bin,start_ps,end_ps,total_target_toggles,pe_array,controller,scratchpad,load_store_dma,gemmini_other
stage1_tiled_matmul_os_baseline_20260423,0,9272956950,9289055833,16102,0,0,0,0,16102
stage1_tiled_matmul_os_baseline_20260423,1,9289055833,9305154717,16091,0,0,0,0,16091
stage1_tiled_matmul_os_baseline_20260423,2,9305154717,9321253600,16104,0,0,0,0,16104
stage1_tiled_matmul_os_baseline_20260423,3,9321253600,9337352484,16096,0,0,0,0,16096
stage1_tiled_matmul_os_baseline_20260423,4,9337352484,9353451367,16099,0,0,0,0,16099
stage1_tiled_matmul_os_baseline_20260423,5,9353451367,9369550251,16097,0,0,0,0,16097
stage1_tiled_matmul_os_baseline_20260423,6,9369550251,9385649135,16104,0,0,0,0,16104
stage1_tiled_matmul_os_baseline_20260423,7,9385649135,9401748018,16099,0,0,0,0,16099
stage1_tiled_matmul_os_baseline_20260423,8,9401748018,9417846902,16092,0,0,0,0,16092
stage1_tiled_matmul_os_baseline_20260423,9,9417846902,9433945785,16101,0,0,0,0,16101
stage1_tiled_matmul_os_baseline_20260423,10,9433945785,9450044669,16100,0,0,0,0,16100
stage1_tiled_matmul_os_baseline_20260423,11,9450044669,9466143553,16102,0,0,0,0,16102
stage1_tiled_matmul_os_baseline_20260423,12,9466143553,9482242436,16094,0,0,0,0,16094
stage1_tiled_matmul_os_baseline_20260423,13,9482242436,9498341320,16099,0,0,0,0,16099
stage1_tiled_matmul_os_baseline_20260423,14,9498341320,9514440203,16101,0,0,0,0,16101
stage1_tiled_matmul_os_baseline_20260423,15,9514440203,9530539087,16097,0,0,0,0,16097
stage1_tiled_matmul_os_baseline_20260423,16,9530539087,9546637971,16097,0,0,0,0,16097
stage1_tiled_matmul_os_baseline_20260423,17,9546637971,9562736854,16101,0,0,0,0,16101
stage1_tiled_matmul_os_baseline_20260423,18,9562736854,9578835738,16105,0,0,0,0,16105
stage1_tiled_matmul_os_baseline_20260423,19,9578835738,9594934621,16095,0,0,0,0,16095
stage1_tiled_matmul_os_baseline_20260423,20,9594934621,9611033505,16102,0,0,0,0,16102
stage1_tiled_matmul_os_baseline_20260423,21,9611033505,9627132389,16095,0,0,0,0,16095
stage1_tiled_matmul_os_baseline_20260423,22,9627132389,9643231272,16100,0,0,0,0,16100
stage1_tiled_matmul_os_baseline_20260423,23,9643231272,9659330156,16097,0,0,0,0,16097
stage1_tiled_matmul_os_baseline_20260423,24,9659330156,9675429039,16100,0,0,0,0,16100
stage1_tiled_matmul_os_baseline_20260423,25,9675429039,9691527923,16098,0,0,0,0,16098
stage1_tiled_matmul_os_baseline_20260423,26,9691527923,9707626807,16099,0,0,0,0,16099
stage1_tiled_matmul_os_baseline_20260423,27,9707626807,9723725690,16099,0,0,0,0,16099
stage1_tiled_matmul_os_baseline_20260423,28,9723725690,9739824574,16102,0,0,0,0,16102
stage1_tiled_matmul_os_baseline_20260423,29,9739824574,9755923457,16100,0,0,0,0,16100
stage1_tiled_matmul_os_baseline_20260423,30,9755923457,9772022341,16094,0,0,0,0,16094
stage1_tiled_matmul_os_baseline_20260423,31,9772022341,9788121225,16100,0,0,0,0,16100
stage1_tiled_matmul_os_baseline_20260423,32,9788121225,9804220108,16094,0,0,0,0,16094
stage1_tiled_matmul_os_baseline_20260423,33,9804220108,9820318992,16096,0,0,0,0,16096
stage1_tiled_matmul_os_baseline_20260423,34,9820318992,9836417875,16104,0,0,0,0,16104
stage1_tiled_matmul_os_baseline_20260423,35,9836417875,9852516759,16098,0,0,0,0,16098
stage1_tiled_matmul_os_baseline_20260423,36,9852516759,9868615642,16101,0,0,0,0,16101
stage1_tiled_matmul_os_baseline_20260423,37,9868615642,9884714526,16092,0,0,0,0,16092
stage1_tiled_matmul_os_baseline_20260423,38,9884714526,9900813410,16096,0,0,0,0,16096
stage1_tiled_matmul_os_baseline_20260423,39,9900813410,9916912293,16104,0,0,0,0,16104
stage1_tiled_matmul_os_baseline_20260423,40,9916912293,9933011177,16098,0,0,0,0,16098
stage1_tiled_matmul_os_baseline_20260423,41,9933011177,9949110060,16098,0,0,0,0,16098
stage1_tiled_matmul_os_baseline_20260423,42,9949110060,9965208944,16099,0,0,0,0,16099
stage1_tiled_matmul_os_baseline_20260423,43,9965208944,9981307828,16101,0,0,0,0,16101
stage1_tiled_matmul_os_baseline_20260423,44,9981307828,9997406711,16095,0,0,0,0,16095
stage1_tiled_matmul_os_baseline_20260423,45,9997406711,10013505595,16102,0,0,0,0,16102
stage1_tiled_matmul_os_baseline_20260423,46,10013505595,10029604478,16098,0,0,0,0,16098
