UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
g0_0,0,0,5.2716625e-05,5.2716625e-05,,Si
g1_0,5.2716625e-05,0,5.2716625e-05,5.2716625e-05,,Si
g2_0,0.00010543325,0,5.2716625e-05,5.2716625e-05,,Si
g3_0,0.000158149875,0,5.2716625e-05,5.2716625e-05,,Si
g4_0,0.0002108665,0,5.2716625e-05,5.2716625e-05,,Si
g5_0,0.000263583125,0,5.2716625e-05,5.2716625e-05,,Si
g6_0,0.00031629975,0,5.2716625e-05,5.2716625e-05,,Si
g7_0,0.000369016375,0,5.2716625e-05,5.2716625e-05,,Si
g8_0,0.000421733,0,5.2716625e-05,5.2716625e-05,,Si
g9_0,0.000474449625,0,5.2716625e-05,5.2716625e-05,,Si
g10_0,0.00052716625,0,5.2716625e-05,5.2716625e-05,,Si
g11_0,0.000579882875,0,5.2716625e-05,5.2716625e-05,,Si
g12_0,0.0006325995,0,5.2716625e-05,5.2716625e-05,,Si
g13_0,0.000685316125,0,5.2716625e-05,5.2716625e-05,,Si
g14_0,0.00073803275,0,5.2716625e-05,5.2716625e-05,,Si
g15_0,0.000790749375,0,5.2716625e-05,5.2716625e-05,,Si
g16_0,0.000843466,0,5.2716625e-05,5.2716625e-05,,Si
g17_0,0.000896182625,0,5.2716625e-05,5.2716625e-05,,Si
g18_0,0.00094889925,0,5.2716625e-05,5.2716625e-05,,Si
g19_0,0.001001615875,0,5.2716625e-05,5.2716625e-05,,Si
g20_0,0.0010543325,0,5.2716625e-05,5.2716625e-05,,Si
g21_0,0.001107049125,0,5.2716625e-05,5.2716625e-05,,Si
g22_0,0.00115976575,0,5.2716625e-05,5.2716625e-05,,Si
g23_0,0.001212482375,0,5.2716625e-05,5.2716625e-05,,Si
g24_0,0.001265199,0,5.2716625e-05,5.2716625e-05,,Si
g25_0,0.001317915625,0,5.2716625e-05,5.2716625e-05,,Si
g26_0,0.00137063225,0,5.2716625e-05,5.2716625e-05,,Si
g27_0,0.001423348875,0,5.2716625e-05,5.2716625e-05,,Si
g28_0,0.0014760655,0,5.2716625e-05,5.2716625e-05,,Si
g29_0,0.001528782125,0,5.2716625e-05,5.2716625e-05,,Si
g30_0,0.00158149875,0,5.2716625e-05,5.2716625e-05,,Si
g31_0,0.001634215375,0,5.2716625e-05,5.2716625e-05,,Si
g32_0,0.001686932,0,5.2716625e-05,5.2716625e-05,,Si
g33_0,0.001739648625,0,5.2716625e-05,5.2716625e-05,,Si
g34_0,0.00179236525,0,5.2716625e-05,5.2716625e-05,,Si
g35_0,0.001845081875,0,5.2716625e-05,5.2716625e-05,,Si
g36_0,0.0018977985,0,5.2716625e-05,5.2716625e-05,,Si
g37_0,0.001950515125,0,5.2716625e-05,5.2716625e-05,,Si
g38_0,0.00200323175,0,5.2716625e-05,5.2716625e-05,,Si
